VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2000,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2001,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2002,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2003,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2004,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2005,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2006,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2007,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2008,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2009,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2010,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2011,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2012,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2013,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2014,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2015,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2016,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2017,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2018,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2019,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2020,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2021,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2000,3.509933775,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2001,3.210596027,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2002,2.911258278,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2003,2.61192053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2004,2.312582782,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2005,2.013245033,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2006,1.713907285,%,E,False
