HS4_grouped,Year,Export Value,Year_total,Export Percent,HS4_legend
Abrasive Powder,2018,1408279.0,76047086050.0,1.8518513636065874e-05,All Other exports
Abrasive Powder,2019,868817.0,70254108558.0,1.236677851065076e-05,All Other exports
Abrasive Powder,2020,817512.0,75228505356.0,1.0867050942077472e-05,All Other exports
Abrasive Powder,2021,1023358.0,96175109416.0,1.0640570166377693e-05,All Other exports
Abrasive Powder,2022,892255.0,100828549258.0,8.849229772382212e-06,All Other exports
Abrasive Powder,2023,979691.0,97096709598.0,1.0089847576257927e-05,All Other exports
Acrylic Polymers,2018,4700583.0,76047086050.0,6.18114808095267e-05,All Other exports
Acrylic Polymers,2019,3822216.0,70254108558.0,5.440558678279258e-05,All Other exports
Acrylic Polymers,2020,4563734.0,75228505356.0,6.0664956433778334e-05,All Other exports
Acrylic Polymers,2021,5151471.0,96175109416.0,5.356345348896463e-05,All Other exports
Acrylic Polymers,2022,5761195.0,100828549258.0,5.713852914077202e-05,All Other exports
Acrylic Polymers,2023,4189513.0,97096709598.0,4.314783701059933e-05,All Other exports
Activated Carbon,2018,10096399.0,76047086050.0,0.00013276510020859635,All Other exports
Activated Carbon,2019,9539786.0,70254108558.0,0.00013578972384403962,All Other exports
Activated Carbon,2020,10593224.0,75228505356.0,0.00014081396340217354,All Other exports
Activated Carbon,2021,9182410.0,96175109416.0,9.547595064625302e-05,All Other exports
Activated Carbon,2022,13137911.0,100828549258.0,0.0001302995143407521,All Other exports
Activated Carbon,2023,11993563.0,97096709598.0,0.00012352182735806162,All Other exports
Acyclic Hydrocarbons,2018,4859504.0,76047086050.0,6.390125187446285e-05,All Other exports
Acyclic Hydrocarbons,2019,6760417.000000001,70254108558.0,9.622806606988363e-05,All Other exports
Acyclic Hydrocarbons,2020,1612413.0,75228505356.0,2.1433537624729623e-05,All Other exports
Acyclic Hydrocarbons,2021,2917183.0,96175109416.0,3.0331995645379407e-05,All Other exports
Acyclic Hydrocarbons,2022,1115465.0,100828549258.0,1.106298769751957e-05,All Other exports
Acyclic Hydrocarbons,2023,1721553.9999999998,97096709598.0,1.7730302160882498e-05,All Other exports
"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2018,177451169.0,76047086050.0,0.0023334381133726556,All Other exports
"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2019,260978739.0,70254108558.0,0.003714782585057536,All Other exports
