Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
Venezuela,0,0,0,0,0,2,6,18,65,78,69,2819,150327,328650,209897,1347,693278
Haiti,0,1,0,2,1,7,16742,40,420,10490,4538,82952,22435,46422,11954,48,196052
Ecuador,0,15,18,4,1,14,93,50,51,31,40,387,29356,57250,16576,113,103999
Cuba,79,18,1154,2010,5026,24623,7383,736,329,2691,245,18600,5961,1124,760,30,70769
Colombia,0,65,24,26,9,32,16,36,13,23,21,169,5064,18841,17529,172,42040
China,268,9,11,1,0,1,0,6,0,0,3,77,2005,25565,12398,6,40350
Chile,0,0,0,0,0,0,0,0,0,0,531,9587,1805,5877,1997,0,19797
India,12,11,48,0,1,1,20,1127,2962,1920,39,592,4094,3736,4073,93,18729
Brazil,0,0,0,0,1,1,0,0,0,0,262,8533,3047,3838,1075,22,16779
Nepal,29,9,213,297,468,2426,1619,2138,868,254,56,523,1631,2252,2344,161,15288
Bangladesh,53,45,89,398,377,559,580,506,1525,911,123,1657,1884,1931,2635,104,13377
Peru,0,17,0,0,1,1,9,4,3,3,4,0,1543,4093,3374,40,9092
Cameroon,2,1,0,0,6,39,168,330,883,2186,39,354,1469,1636,1608,128,8849
Afghanistan,17,0,3,4,0,19,18,14,10,13,0,0,2220,4267,1983,37,8605
Angola,0,0,0,0,0,0,133,59,237,556,31,479,1402,1157,1918,84,6056
Ghana,2,1,7,8,38,498,412,73,108,122,13,1289,1337,790,768,36,5502
Congo,1,0,0,0,1,5,764,275,615,1274,115,315,737,622,677,38,5439
Vietnam,0,2,0,0,0,0,0,0,0,5,1,0,0,2102,3113,53,5276
Somalia,4,20,112,174,161,527,192,81,32,9,3,120,1442,1124,719,6,4726
Other Countries,92,69,98,127,84,534,1905,1283,1100,1536,332,5273,10525,8808,6805,416,38987
