"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Total","Establishment size (Aggregate): Total","2020",96.759,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Total","Establishment size (Aggregate): 1-4 persons","2020",97.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Total","Establishment size (Aggregate): 5-49 persons","2020",95.602,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Total","Establishment size (Aggregate): 50+ persons","2020",79.881,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Total","Establishment size (Aggregate): Not stated","2020",96.098,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Total","2020",90.424,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 1-4 persons","2020",93.106,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 5-49 persons","2020",90,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 50+ persons","2020",67.165,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Not stated","2020",90.018,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Total","2020",97.44,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 1-4 persons","2020",98.293,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 5-49 persons","2020",97.515,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 50+ persons","2020",84.804,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Not stated","2020",96.749,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Total","2020",98.132,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 1-4 persons","2020",95.32,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 5-49 persons","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 50+ persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Not stated","2020",99.397,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Total","2020",98.356,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Not stated","2020",98.679,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Total","Establishment size (Aggregate): Total","2020",95.742,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Total","Establishment size (Aggregate): 1-4 persons","2020",97.385,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Total","Establishment size (Aggregate): 5-49 persons","2020",94.119,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Total","Establishment size (Aggregate): 50+ persons","2020",78.153,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Total","Establishment size (Aggregate): Not stated","2020",94.867,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Total","2020",89.165,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 1-4 persons","2020",93.414,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 5-49 persons","2020",88.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 50+ persons","2020",63.07,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Not stated","2020",88.816,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Total","2020",96.734,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 1-4 persons","2020",97.755,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 5-49 persons","2020",96.482,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 50+ persons","2020",83.525,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Not stated","2020",95.953,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Total","2020",97.216,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 1-4 persons","2020",95.165,,,,"Repository: ILO-STATISTICS - Micro data processing"
