Entity,Year,unit value|Copper|Mine|constant 1998 US$ per tonne
World,1900,7000
World,1901,7000
World,1902,4800
World,1903,5300
World,1904,5100
World,1905,6300
World,1906,7700
World,1907,7700
World,1908,5300
World,1909,5300
World,1910,5000
World,1911,4900
World,1912,6200
World,1913,5630
World,1914,4760
World,1915,6180
World,1916,9360
World,1917,8190
World,1918,5890
World,1919,3780
World,1920,3140
World,1921,2540
World,1922,2900
World,1923,3100
World,1924,2790
World,1925,2920
World,1926,2840
World,1927,2690
World,1928,3110
World,1929,3850
World,1930,2860
World,1931,1980
World,1932,1520
World,1933,2020
World,1934,2330
World,1935,2330
World,1936,2520
World,1937,3350
World,1938,2610
World,1939,2900
World,1940,2960
World,1941,2930
World,1942,2650
World,1943,2500
World,1944,2450
World,1945,2410
World,1946,2580
World,1947,3420
World,1948,3320
World,1949,2940
World,1950,3210
World,1951,3400
World,1952,3310
World,1953,3910
World,1954,4000
World,1955,5040
World,1956,5540
World,1957,3840
World,1958,3280
World,1959,3820
World,1960,3920
World,1961,3630
World,1962,3670
World,1963,3640
World,1964,3750
World,1965,4020
World,1966,3990
World,1967,4100
World,1968,4260
World,1969,4650
World,1970,5380
World,1971,4620
World,1972,4420
World,1973,4810
World,1974,5630
World,1975,4290
World,1976,4390
World,1977,3960
World,1978,3630
World,1979,4570
World,1980,4420
World,1981,3330
World,1982,2710
World,1983,2760
World,1984,2310
World,1985,2240
World,1986,2170
World,1987,2610
World,1988,3660
World,1989,3800
World,1990,3380
World,1991,2890
World,1992,2750
World,1993,2280
World,1994,2690
World,1995,3260
World,1996,2500
World,1997,2400
World,1998,1730
World,1999,1640
World,2000,1840
World,2001,1560
World,2002,1510
World,2003,1660
World,2004,2550
World,2005,3190
World,2006,5610
World,2007,5690
World,2008,5330
World,2009,4040
World,2010,5740
World,2011,6480
World,2012,5750
World,2013,5240
World,2014,4830
World,2015,3880
World,2016,3370
World,2017,4180
World,2018,4280
World,2019,3930
World,2020,3980
