HS4,HS4 ID,Current Exports Value
Horses,10101,4538415
Bovine,10102,24484189
Sheep and Goats,10104,4824
Poultry,10105,1709
Other Animals,10106,2034264
Bovine Meat,10201,4025577
Frozen Bovine Meat,10202,90322464
Pig Meat,10203,726243615
Sheep and Goat Meat,10204,37510037
Edible Offal,10206,101560524
Poultry Meat,10207,378044654
Other Meat,10208,17912
Animal Fat,10209,38369108.99999999
Preserved Meat,10210,1751972
Live Fish,10301,162223
Non-fillet Fresh Fish,10302,592627345
Non-fillet Frozen Fish,10303,1572301648
Fish Fillets,10304,2423761413
Dried/Salted/Smoked/Brined Fish,10305,56531388.00000001
Crustaceans,10306,72230567
Molluscs,10307,121937597
"Aquatic invertebrates, other than crustaceans and molluscs",10308,97592763
Milk,10401,249426
Concentrated Milk,10402,69338604
Fermented Milk Products,10403,3778530
Whey and other milk products,10404,12678424
Butter,10405,13379759
Cheese,10406,33922123
Honey,10409,6156007
Other Edible Animal Products,10410,122
Animal Organs,10504,26437883
Processed Bones,10506,189914
Coral and Shells,10508,131096
Pharmaceutical Animal Products,10510,10033300
Other Inedible Animal Products,10511,5869519
Bulbs and Roots,20601,23013518
"Other live plants, cuttings and slips;
mushroom spawn",20602,34136285
Cut Flowers,20603,9307218
Plant foliage,20604,2707264
Potatoes,20701,1662679
Tomatoes,20702,11889
Onions,20703,54212829
Cabbages,20704,168712
Lettuce,20705,173119
Root Vegetables,20706,349889
Cucumbers,20707,286.00000000000006
Legumes,20708,40502
Other Vegetables,20709,1415942
Frozen Vegetables,20710,41843868
Preserved Vegetables,20711,614572
Dried Vegetables,20712,17841033
Dried Legumes,20713,4882439
Cassava,20714,72
"Coconuts, Brazil Nuts, and Cashews",20801,4155095.9999999995
Other Nuts,20802,583479756
Bananas,20803,490420
Tropical Fruits,20804,332032020
Citrus,20805,475976299
Grapes,20806,1229304340
Melons,20807,18583
Apples and Pears,20808,746654091
Pitted Fruits,20809,2012848443.9999998
Other Fruits,20810,826481100
Frozen Fruits and Nuts,20811,439901765
Preserved Fruits and Nuts,20812,5409250
Dried Fruits,20813,208352381
Citrus and Melon Peels,20814,1458461.9999999998
Coffee,20901,384379
Tea,20902,3602907
Mate,20903,15312
Pepper,20904,2562158
Vanilla,20905,3990.0000000000005
Cinnamon,20906,358
Cloves,20907,384
"Nutmeg, mace and cardamons",20908,125718
Spice Seeds,20909,629955
Spices,20910,361753
Wheat,21001,4050
Barley,21003,284458
Oats,21004,3182323
Corn,21005,113442054
Rice,21006,288759
Sorghum,21007,117618
Buckwheat,21008,568283
Wheat Flours,21101,1398545
Cereal Flours,21102,4501364
Cereal Meal and Pellets,21103,52633
Processed Cereals,21104,133729248
Potato Flours,21105,94289
Legume Flours,21106,7625991
Malt,21107,15657183
Starches,21108,51457604
Soybeans,21201,16474332
Ground Nuts,21202,128082
Linseed,21204,9888.000000000002
Rapeseed,21205,14701354
Sunflower Seeds,21206,41222121
Other Oily Seeds,21207,9954195
Oil Seed Flower,21208,582681
Sowing Seeds,21209,221177228
Hops,21210,1786
Perfume Plants,21211,31716259
"Locust beans, seaweed, sugar beet, cane, for food",21212,97028238
