HS4,HS4 ID,Current Exports Value
Horses,10101,9235079
Bovine,10102,20635692
Other Animals,10106,5713604
Bovine Meat,10201,8083438
Frozen Bovine Meat,10202,94725540
Pig Meat,10203,597137270
Sheep and Goat Meat,10204,36034899
Edible Offal,10206,109648973
Poultry Meat,10207,372186102
Other Meat,10208,274579
Animal Fat,10209,43881505
Preserved Meat,10210,320034
Live Fish,10301,38456
Non-fillet Fresh Fish,10302,1172004729
Non-fillet Frozen Fish,10303,2063855810
Fish Fillets,10304,3780935050
Dried/Salted/Smoked/Brined Fish,10305,58462801
Crustaceans,10306,81885856
Molluscs,10307,160910948
"Aquatic invertebrates, other than crustaceans and molluscs",10308,88864134
Milk,10401,116908
Concentrated Milk,10402,89322397
Fermented Milk Products,10403,6524739.999999999
Whey and other milk products,10404,18066789
Butter,10405,6742330
Cheese,10406,34028847
Eggs,10407,212.00000000000003
Processed Egg Products,10408,2148
Honey,10409,10026446
Animal Organs,10504,28283427
Processed Bones,10506,121419
Raw Bones,10507,8724.999999999998
Coral and Shells,10508,201879
Pharmaceutical Animal Products,10510,6467785
Other Inedible Animal Products,10511,9558623
Bulbs and Roots,20601,27436812
"Other live plants, cuttings and slips;
mushroom spawn",20602,22178592
Cut Flowers,20603,10649989
Plant foliage,20604,2673308
Potatoes,20701,1645026
Tomatoes,20702,134632
Onions,20703,43788399
Cabbages,20704,55368
Lettuce,20705,28530
Root Vegetables,20706,114682
Cucumbers,20707,8568
Legumes,20708,58099
Other Vegetables,20709,2790856
Frozen Vegetables,20710,61920802
Preserved Vegetables,20711,608351
Dried Vegetables,20712,19270739
Dried Legumes,20713,10670469
Cassava,20714,2957
"Coconuts, Brazil Nuts, and Cashews",20801,3441822
Other Nuts,20802,727859802
Bananas,20803,372144
Tropical Fruits,20804,300020287
Citrus,20805,397434573
Grapes,20806,1218593526
Melons,20807,71308
Apples and Pears,20808,599741872
Pitted Fruits,20809,2909871303
Other Fruits,20810,676382593
Frozen Fruits and Nuts,20811,423849482
Preserved Fruits and Nuts,20812,7452703
Dried Fruits,20813,316245812
Citrus and Melon Peels,20814,1220394.0000000002
Coffee,20901,1985005
Tea,20902,1828507
Mate,20903,76075
Pepper,20904,2527728
Vanilla,20905,26173
Cinnamon,20906,1411
Cloves,20907,4437
"Nutmeg, mace and cardamons",20908,551
Spice Seeds,20909,1565332
Spices,20910,224542
Wheat,21001,88438
Rye,21002,10
Barley,21003,157633.00000000003
Oats,21004,3716229
Corn,21005,99184315
Rice,21006,2099750
Sorghum,21007,722277
Buckwheat,21008,785048
Wheat Flours,21101,1328465
Cereal Flours,21102,9432994
Cereal Meal and Pellets,21103,4543
Processed Cereals,21104,147365662
Potato Flours,21105,447721
Legume Flours,21106,16343441
Malt,21107,5161643
Starches,21108,60218025
Wheat Gluten,21109,58000
Soybeans,21201,8617812
Ground Nuts,21202,437098
Copra,21203,11253
Linseed,21204,937
Rapeseed,21205,57887216
Sunflower Seeds,21206,49277186
Other Oily Seeds,21207,15788240
Oil Seed Flower,21208,427706
Sowing Seeds,21209,308002547
Hops,21210,4702
Perfume Plants,21211,29928729
"Locust beans, seaweed, sugar beet, cane, for food",21212,192821939
Cereal Straws,21213,30884
Forage Crops,21214,10708133
Insect Resins,21301,97512
Vegetable Saps,21302,160856770
Vegetable Plaiting Materials,21401,890915
Other Vegetable Products,21404,35157357
"Bovine, Sheep, and Goat Fat",31502,2458761
Fish Oil,31504,483875996
Other Animal Fats,31506,36704
Soybean Oil,31507,286736.99999999994
Ground Nut Oil,31508,1347543
Pure Olive Oil,31509,119128560
Olive Oil,31510,15518
Palm Oil,31511,463154
Seed Oils,31512,687377
Coconut Oil,31513,231150
Rapeseed Oil,31514,2118231
Other Pure Vegetable Oils,31515,6554159
Other Vegetable Oils,31516,69636086
Margarine,31517,4295178
Inedible Fats and Oils,31518,119426099.00000001
Glycerol,31520,16655
Vegetable waxes and beeswax,31521,993
Sausages,41601,66668
Other Prepared Meat,41602,46982028
Animal Extracts,41603,99642.00000000001
Processed Fish,41604,92661180
Processed Crustaceans,41605,393803976
Raw Sugar,41701,985798
Other Sugars,41702,24140627
Molasses,41703,5561
Confectionery Sugar,41704,11506242
Cocoa Beans,41801,46493.99999999999
Cocoa Paste,41803,147720
Cocoa Butter,41804,18462
Cocoa Powder,41805,39876
Chocolate,41806,31837053
Malt Extract,41901,148043985
Pasta,41902,10154734
Prepared Cereals,41904,33887061
Baked Goods,41905,29506412
Pickled Foods,42001,114339
Processed Tomatoes,42002,291583921
Processed Mushrooms,42003,93547
Other Frozen Vegetables,42004,119151
Other Processed Vegetables,42005,5360435
Sugar Preserved Foods,42006,821744
Jams,42007,183854829
Other Processed Fruits and Nuts,42008,198007996
Fruit Juice,42009,272075183
Coffee and Tea Extracts,42101,26990681
Yeast,42102,1772105
Sauces and Seasonings,42103,18198509
Soups and Broths,42104,49967276
Ice Cream,42105,452585
Other Edible Preparations,42106,150576527
Water,42201,214708
Flavored Water,42202,4786737
Beer,42203,3702707
Wine,42204,1549525710
Vermouth,42205,3837128
Other Fermented Beverages,42206,1205852
Alcohol > 80% ABV,42207,6550825
Hard Liquor,42208,14646168
Vinegar,42209,248278
Animal Meal and Pellets,42301,480146225
Bran,42302,554505
Starch Residue,42303,8815138
Soybean Meal,42304,2933904
Other Vegetable Residues,42306,4496635
Wine Lees,42307,852557
Other Vegetable Residues and Waste,42308,792480
Animal Food,42309,59799561
Raw Tobacco,42401,277565
Rolled Tobacco,42402,28220926.999999996
