Year,Drug Type,Deaths
1996-01-01,All,244.0
1997-01-01,All,224.0
1998-01-01,All,249.0
1999-01-01,All,291.0
2000-01-01,All,292.0
2001-01-01,All,332.0
2002-01-01,All,382.0
2003-01-01,All,317.0
2004-01-01,All,356.0
2005-01-01,All,336.0
2006-01-01,All,421.0
2007-01-01,All,455.0
2008-01-01,All,574.0
2009-01-01,All,545.0
2010-01-01,All,485.0
2011-01-01,All,584.0
2012-01-01,All,581.0
2013-01-01,All,527.0
2014-01-01,All,614.0
2015-01-01,All,706.0
2016-01-01,All,868.0
2017-01-01,All,934.0
2018-01-01,All,1187.0
2019-01-01,All,1280.0
2020-01-01,All,1339.0
1996-01-01,Heroin,84.0
1997-01-01,Heroin,74.0
1998-01-01,Heroin,121.0
1999-01-01,Heroin,167.0
2000-01-01,Heroin,196.0
2001-01-01,Heroin,216.0
2002-01-01,Heroin,248.0
2003-01-01,Heroin,175.0
2004-01-01,Heroin,225.0
2005-01-01,Heroin,194.0
2006-01-01,Heroin,260.0
2007-01-01,Heroin,289.0
2008-01-01,Heroin,324.0
2009-01-01,Heroin,322.0
2010-01-01,Heroin,254.0
2011-01-01,Heroin,206.0
2012-01-01,Heroin,221.0
2013-01-01,Heroin,221.0
2014-01-01,Heroin,309.0
2015-01-01,Heroin,345.0
2016-01-01,Heroin,473.0
2017-01-01,Heroin,470.0
2018-01-01,Heroin,537.0
2019-01-01,Heroin,651.0
2020-01-01,Heroin,605.0
1996-01-01,Methadone,100.0
1997-01-01,Methadone,86.0
1998-01-01,Methadone,64.0
1999-01-01,Methadone,63.0
2000-01-01,Methadone,55.0
2001-01-01,Methadone,69.0
2002-01-01,Methadone,98.0
2003-01-01,Methadone,87.0
2004-01-01,Methadone,80.0
2005-01-01,Methadone,72.0
2006-01-01,Methadone,97.0
2007-01-01,Methadone,114.0
2008-01-01,Methadone,169.0
2009-01-01,Methadone,173.0
2010-01-01,Methadone,174.0
2011-01-01,Methadone,275.0
2012-01-01,Methadone,237.0
2013-01-01,Methadone,216.0
2014-01-01,Methadone,214.0
2015-01-01,Methadone,251.0
2016-01-01,Methadone,362.0
2017-01-01,Methadone,439.0
2018-01-01,Methadone,560.0
2019-01-01,Methadone,567.0
2020-01-01,Methadone,708.0
