,Agriculture ,Mining and quarrying ,Manufacturing ,"Electricity, gas, steam and air conditioning supply ","Water supply; sewerage, waste management and remediation activities ",Construction ,Wholesale and retail trade and repair of motor vehicles and motorcycles ,Transportation and storage ,Accommodation and food service activities ,Information and communication ,Financial and insurance activities ,Real estate activties  ,"Professional, scientific and technical activties ",Administrative and support service activities ,Public administation and defence; compulsory social security ,Education ,Human health and social work activities ,"Arts, entrainment and recreation ",Other service activties  ,Activities of households as employers ,date
0,51.9,405.1,64.2,85.1,116.4,88.7,76.6,72.2,80.9,8.4,68.3,65.8,52.3,52.1,87.1,92.8,65.8,85.6,93.2,84.1,1997-01-01
1,52.6,388.8,64.9,82.8,117.0,89.4,77.7,72.7,80.6,8.7,68.8,67.4,51.9,52.4,87.2,93.8,66.4,85.5,95.5,75.9,1997-02-01
2,53.3,377.6,64.2,78.5,117.8,90.3,79.7,72.1,80.3,8.8,68.3,67.4,52.7,52.4,87.2,93.0,66.5,86.9,96.5,74.1,1997-03-01
3,54.6,377.1,65.8,83.7,120.2,92.7,82.3,73.3,81.7,8.8,68.9,66.6,51.8,51.0,88.1,92.3,66.9,89.7,96.3,79.3,1997-04-01
4,55.3,371.7,65.4,86.2,118.9,93.1,77.8,74.3,81.2,9.0,68.0,65.7,52.5,51.7,88.1,91.3,66.8,89.8,92.4,85.5,1997-05-01
5,55.9,372.2,65.6,86.2,119.0,92.8,80.5,74.5,81.0,9.1,68.8,65.2,52.7,52.1,88.1,91.1,66.9,87.4,91.0,90.8,1997-06-01
6,56.6,387.0,66.9,88.2,119.6,92.6,80.0,75.5,80.2,9.1,69.5,64.9,53.7,52.6,88.3,92.8,67.0,82.9,88.1,86.2,1997-07-01
7,57.1,380.8,66.0,87.0,121.6,92.2,80.6,76.6,80.5,9.3,69.1,64.7,54.2,54.0,88.0,94.1,67.0,78.9,89.7,88.0,1997-08-01
8,57.7,377.4,66.6,86.6,120.5,92.7,81.2,76.7,81.3,9.7,66.1,64.2,54.6,53.5,87.4,95.0,67.1,78.6,93.7,88.9,1997-09-01
9,58.5,388.2,67.5,87.5,117.7,94.2,80.7,79.4,83.2,10.1,63.8,64.1,55.9,53.2,86.9,95.7,67.4,81.7,91.8,87.9,1997-10-01
10,59.4,377.4,68.0,86.2,116.5,95.7,79.1,81.5,84.6,10.6,63.9,63.9,55.2,54.3,87.5,95.6,67.6,84.6,96.3,87.3,1997-11-01
11,60.5,376.3,68.2,86.3,117.6,97.1,79.7,81.7,84.6,10.9,68.6,63.8,55.5,51.9,89.4,95.0,67.7,86.1,94.5,86.4,1997-12-01
12,61.5,383.2,68.1,82.9,121.8,97.9,77.6,79.9,82.6,10.7,75.9,63.8,53.7,50.9,86.8,93.9,68.1,80.5,93.1,84.6,1998-01-01
13,62.5,371.5,68.8,85.7,124.9,98.2,79.0,81.3,81.6,10.5,77.4,64.4,55.3,50.8,88.5,94.0,68.1,77.6,91.0,83.3,1998-02-01
14,63.2,373.3,69.3,87.0,124.7,97.6,76.8,81.3,80.8,10.7,75.8,64.8,54.8,50.8,89.0,93.9,68.2,74.8,91.5,81.8,1998-03-01
15,63.6,375.3,69.4,90.8,123.0,96.3,79.3,81.8,80.8,11.2,73.9,65.0,56.0,52.6,88.5,95.1,67.9,72.3,91.4,84.2,1998-04-01
16,64.3,374.0,69.1,86.0,122.2,95.5,76.1,83.3,81.1,11.6,71.4,64.8,58.2,54.0,87.9,96.0,67.9,73.2,92.2,82.5,1998-05-01
17,65.2,372.1,69.5,89.8,116.0,95.5,77.9,81.7,81.1,11.8,69.9,64.8,57.5,53.4,87.7,96.2,67.8,75.8,90.3,80.7,1998-06-01
18,65.9,358.6,69.6,90.6,114.3,95.6,79.1,83.0,80.8,12.0,69.6,65.1,56.9,52.5,88.3,95.7,67.7,79.5,90.0,81.7,1998-07-01
19,66.3,364.3,69.7,92.6,115.6,96.4,77.6,83.4,80.7,12.5,68.5,65.2,57.8,53.5,88.7,95.0,67.9,82.1,90.3,81.4,1998-08-01
20,66.3,366.8,69.9,94.4,112.9,97.3,77.9,83.1,80.9,12.5,66.8,65.7,58.0,52.5,89.1,94.1,68.1,82.0,92.6,82.1,1998-09-01
21,66.2,362.2,69.8,97.2,113.6,98.0,76.9,83.0,81.3,13.0,64.9,66.1,59.5,54.2,88.9,93.8,68.2,80.3,89.4,82.2,1998-10-01
22,66.9,361.2,69.8,100.6,114.3,98.7,78.0,85.0,82.1,13.3,63.6,66.5,58.8,55.1,88.6,93.7,68.3,78.6,93.8,81.6,1998-11-01
23,68.6,364.7,70.3,100.8,110.3,99.5,79.6,84.4,81.5,13.3,62.5,66.5,59.2,53.9,88.5,94.0,68.3,78.6,92.2,79.0,1998-12-01
24,70.9,365.4,71.4,103.4,109.6,100.5,76.9,84.4,82.0,13.2,63.8,66.7,59.0,54.8,88.7,94.5,68.4,78.5,88.9,75.2,1999-01-01
25,72.7,368.2,71.3,108.4,107.2,101.0,77.3,85.2,81.2,13.4,66.7,66.5,59.2,53.3,88.7,95.0,68.2,79.3,86.8,74.4,1999-02-01
26,73.4,367.4,72.1,109.7,106.2,101.2,77.2,87.3,81.2,13.3,68.4,66.1,57.1,51.2,88.8,95.4,67.8,80.7,87.1,77.0,1999-03-01
27,73.5,369.2,71.7,110.1,109.0,101.5,75.5,85.0,81.5,13.3,68.4,65.6,56.8,52.4,88.5,95.6,67.6,79.6,87.8,83.5,1999-04-01
28,73.5,365.6,72.6,110.7,109.1,101.9,75.2,89.3,82.3,13.6,69.0,65.8,59.9,53.2,88.5,96.2,67.4,79.8,89.4,86.4,1999-05-01
29,73.8,358.9,72.4,114.2,108.7,102.8,76.4,87.3,82.4,13.9,68.5,66.3,58.6,52.4,88.5,96.4,67.2,79.5,89.4,86.3,1999-06-01
30,74.2,372.1,73.0,112.8,110.0,103.5,75.9,88.6,83.1,14.4,68.6,67.1,59.6,52.9,88.3,96.9,67.2,79.3,88.0,82.2,1999-07-01
31,75.0,372.4,73.6,115.2,108.7,104.0,76.3,88.4,83.0,14.7,69.2,67.5,59.6,52.6,88.1,97.1,67.4,78.2,87.0,83.4,1999-08-01
