,Country Name,year,gini
0,United Kingdom,1960,
1,United Kingdom,1961,
2,United Kingdom,1962,
3,United Kingdom,1963,
4,United Kingdom,1964,
5,United Kingdom,1965,
6,United Kingdom,1966,
7,United Kingdom,1967,
8,United Kingdom,1968,26.8
9,United Kingdom,1969,27.9
10,United Kingdom,1970,28.0
11,United Kingdom,1971,29.3
12,United Kingdom,1972,28.8
13,United Kingdom,1973,28.8
14,United Kingdom,1974,29.0
15,United Kingdom,1975,27.9
16,United Kingdom,1976,27.6
17,United Kingdom,1977,27.1
18,United Kingdom,1978,27.2
19,United Kingdom,1979,27.4
20,United Kingdom,1980,28.5
21,United Kingdom,1981,29.7
22,United Kingdom,1982,29.9
23,United Kingdom,1983,29.8
24,United Kingdom,1984,29.2
25,United Kingdom,1985,30.4
26,United Kingdom,1986,31.9
27,United Kingdom,1987,33.9
28,United Kingdom,1988,34.3
29,United Kingdom,1989,33.4
30,United Kingdom,1990,35.7
31,United Kingdom,1991,35.0
32,United Kingdom,1992,35.0
33,United Kingdom,1993,35.1
34,United Kingdom,1994,36.0
35,United Kingdom,1995,35.5
36,United Kingdom,1996,35.3
37,United Kingdom,1997,35.7
38,United Kingdom,1998,36.6
39,United Kingdom,1999,36.8
40,United Kingdom,2000,38.8
41,United Kingdom,2001,37.1
42,United Kingdom,2002,35.1
43,United Kingdom,2003,34.9
44,United Kingdom,2004,34.8
45,United Kingdom,2005,35.5
46,United Kingdom,2006,35.9
47,United Kingdom,2007,34.4
48,United Kingdom,2008,35.4
49,United Kingdom,2009,35.1
50,United Kingdom,2010,33.7
51,United Kingdom,2011,33.2
52,United Kingdom,2012,33.1
53,United Kingdom,2013,32.7
54,United Kingdom,2014,33.1
55,United Kingdom,2015,33.3
56,United Kingdom,2016,33.1
57,United Kingdom,2017,32.6
58,United Kingdom,2018,33.7
59,United Kingdom,2019,32.8
60,United Kingdom,2020,32.6
61,United Kingdom,2021,32.4
62,United Kingdom,2022,
63,United Kingdom,2023,
