county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
10001,Flooding/Tropical storm/Hurricane,2020,881732.5,Kent County
10001,Flooding/Tropical storm/Hurricane,2022,13801352.25,Kent County
10001,Unidentified disaster,2020,330000.0,Kent County
10001,Unidentified disaster,2021,66667.0,Kent County
10001,Unidentified disaster,2022,743987.0700000001,Kent County
10001,Unidentified disaster,2023,1247613.0,Kent County
10003,Flooding/Tropical storm/Hurricane,2020,1028600.0,New Castle County
10003,Flooding/Tropical storm/Hurricane,2021,666675.0,New Castle County
10003,Tornado/Severe storm,2023,160475.87,New Castle County
10003,Unidentified disaster,2023,1021300.0,New Castle County
10005,Flooding/Tropical storm/Hurricane,2023,3384229.0500000003,Sussex County
10005,Tornado/Severe storm,2023,395000.0,Sussex County
01003,Flooding/Tropical storm/Hurricane,2020,2238303.22,Baldwin County
01003,Flooding/Tropical storm/Hurricane,2022,35000.0,Baldwin County
01003,Infrastructure failure/Manmade disaster,2020,125000.0,Baldwin County
01009,Tornado/Severe storm,2020,720744.0,Blount County
01015,Flooding/Tropical storm/Hurricane,2020,84000.0,Calhoun County
01015,Tornado/Severe storm,2020,208872.0,Calhoun County
01021,Flooding/Tropical storm/Hurricane,2023,4900000.33,Chilton County
01021,Unidentified disaster,2020,100292.13,Chilton County
01021,Unidentified disaster,2021,176768.16,Chilton County
01021,Unidentified disaster,2022,402156.5,Chilton County
01021,Unidentified disaster,2023,5829215.85,Chilton County
01033,Flooding/Tropical storm/Hurricane,2020,105000.0,Colbert County
01047,Flooding/Tropical storm/Hurricane,2023,17956600.0,Dallas County
01055,Tornado/Severe storm,2020,179560.0,Etowah County
01071,Infrastructure failure/Manmade disaster,2022,1848105.0,Jackson County
01073,Flooding/Tropical storm/Hurricane,2020,109900.0,Jefferson County
01073,Flooding/Tropical storm/Hurricane,2022,2033965.0,Jefferson County
01073,Flooding/Tropical storm/Hurricane,2023,2412168.25,Jefferson County
01075,Tornado/Severe storm,2022,192500.0,Lamar County
01089,Flooding/Tropical storm/Hurricane,2020,200000.0,Madison County
01089,Tornado/Severe storm,2020,11800000.0,Madison County
01093,Tornado/Severe storm,2020,297150.0,Marion County
01097,Flooding/Tropical storm/Hurricane,2023,9610922.0,Mobile County
01097,Infrastructure failure/Manmade disaster,2021,34466227.85,Mobile County
01097,Unidentified disaster,2023,155540.0,Mobile County
11001,Fire/Extreme temperature/Drought,2021,279510.0,District of Columbia
11001,Fire/Extreme temperature/Drought,2023,525000.0,District of Columbia
11001,Flooding/Tropical storm/Hurricane,2020,4099315.66,District of Columbia
11001,Flooding/Tropical storm/Hurricane,2021,10236065.66,District of Columbia
11001,Flooding/Tropical storm/Hurricane,2022,2759114.41,District of Columbia
11001,Flooding/Tropical storm/Hurricane,2023,42219559.57,District of Columbia
11001,Infrastructure failure/Manmade disaster,2020,29193638.0,District of Columbia
11001,Infrastructure failure/Manmade disaster,2022,2843339.0,District of Columbia
11001,Infrastructure failure/Manmade disaster,2023,2082675.0,District of Columbia
11001,Unidentified disaster,2020,2372604.27,District of Columbia
11001,Unidentified disaster,2021,469858.96,District of Columbia
11001,Unidentified disaster,2022,275911.44,District of Columbia
11001,Unidentified disaster,2023,4482723.46,District of Columbia
01101,Tornado/Severe storm,2021,1160041.05,Montgomery County
01101,Unidentified disaster,2020,966990.0,Montgomery County
01103,Tornado/Severe storm,2020,1484598.68,Morgan County
01105,Tornado/Severe storm,2020,2820343.0,Perry County
01113,Tornado/Severe storm,2020,701495.3,Russell County
01117,Flooding/Tropical storm/Hurricane,2023,23256928.0,Shelby County
12001,Flooding/Tropical storm/Hurricane,2021,497071.44,Alachua County
12001,Tornado/Severe storm,2022,5000290.0,Alachua County
12001,Tornado/Severe storm,2023,5000290.0,Alachua County
12005,Flooding/Tropical storm/Hurricane,2020,1307326.64,Bay County
12005,Flooding/Tropical storm/Hurricane,2021,2142133.7600000002,Bay County
12005,Flooding/Tropical storm/Hurricane,2022,310795.65,Bay County
12005,Unidentified disaster,2020,1030188.23,Bay County
12005,Unidentified disaster,2022,19770000.0,Bay County
12011,Flooding/Tropical storm/Hurricane,2021,98250.0,Broward County
12011,Flooding/Tropical storm/Hurricane,2022,757000.0,Broward County
12011,Flooding/Tropical storm/Hurricane,2023,926091.61,Broward County
12011,Tornado/Severe storm,2020,423880.66000000003,Broward County
12011,Tornado/Severe storm,2023,63270000.0,Broward County
12011,Unidentified disaster,2020,967874.0,Broward County
12011,Unidentified disaster,2023,443850.0,Broward County
12015,Unidentified disaster,2020,1621319.0,Charlotte County
12015,Unidentified disaster,2021,1329022.0,Charlotte County
12031,Flooding/Tropical storm/Hurricane,2021,1660318.42,Duval County
12031,Infrastructure failure/Manmade disaster,2021,3784956.0,Duval County
12031,Infrastructure failure/Manmade disaster,2022,99120.0,Duval County
12031,Infrastructure failure/Manmade disaster,2023,1439937.18,Duval County
12031,Unidentified disaster,2020,361250.68,Duval County
12031,Unidentified disaster,2023,932933.86,Duval County
12033,Flooding/Tropical storm/Hurricane,2021,105287.0,Escambia County
12033,Flooding/Tropical storm/Hurricane,2023,1018500.0,Escambia County
12035,Unidentified disaster,2021,671660.0,Flagler County
12037,Unidentified disaster,2022,1305404.52,Franklin County
12057,Flooding/Tropical storm/Hurricane,2020,623156.54,Hillsborough County
12057,Infrastructure failure/Manmade disaster,2023,3580503.84,Hillsborough County
12057,Unidentified disaster,2021,2772549.15,Hillsborough County
12065,Infrastructure failure/Manmade disaster,2022,41696.18,Jefferson County
12065,Unidentified disaster,2021,41696.18,Jefferson County
12069,Infrastructure failure/Manmade disaster,2023,3785691.84,Lake County
12073,Fire/Extreme temperature/Drought,2023,3537105.0,Leon County
12073,Unidentified disaster,2020,542869.14,Leon County
12073,Unidentified disaster,2021,2630761.31,Leon County
12073,Unidentified disaster,2022,34070648.31,Leon County
12073,Unidentified disaster,2023,18588998.67,Leon County
12081,Flooding/Tropical storm/Hurricane,2020,105850.5,Manatee County
12081,Infrastructure failure/Manmade disaster,2023,663965.14,Manatee County
12083,Infrastructure failure/Manmade disaster,2022,4900747.44,Marion County
12086,Flooding/Tropical storm/Hurricane,2020,8339296.7,Miami-Dade County
12086,Flooding/Tropical storm/Hurricane,2022,86693435.69,Miami-Dade County
12086,Infrastructure failure/Manmade disaster,2022,573156.15,Miami-Dade County
12086,Tornado/Severe storm,2022,643394.62,Miami-Dade County
12086,Unidentified disaster,2020,34982034.03,Miami-Dade County
12086,Unidentified disaster,2022,3348966.6,Miami-Dade County
12087,Flooding/Tropical storm/Hurricane,2020,15971763.209999999,Monroe County
12087,Flooding/Tropical storm/Hurricane,2021,3237742.0,Monroe County
12087,Flooding/Tropical storm/Hurricane,2022,16625991.73,Monroe County
12087,Flooding/Tropical storm/Hurricane,2023,6522345.3100000005,Monroe County
12087,Unidentified disaster,2022,1045817.72,Monroe County
12095,Flooding/Tropical storm/Hurricane,2023,8229819.75,Orange County
12095,Infrastructure failure/Manmade disaster,2023,350000.0,Orange County
12095,Tornado/Severe storm,2023,623991.0,Orange County
