county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
01001,none,2020,0.0,Autauga County
01001,none,2021,0.0,Autauga County
01001,none,2022,0.0,Autauga County
01001,none,2023,0.0,Autauga County
01003,Unidentified disaster,2020,2363303.22,Baldwin County
01003,none,2021,0.0,Baldwin County
01003,Unidentified disaster,2022,35000.0,Baldwin County
01003,none,2023,0.0,Baldwin County
01005,none,2020,0.0,Barbour County
01005,none,2021,0.0,Barbour County
01005,none,2022,0.0,Barbour County
01005,none,2023,0.0,Barbour County
01007,none,2020,0.0,Bibb County
01007,none,2021,0.0,Bibb County
01007,none,2022,0.0,Bibb County
01007,none,2023,0.0,Bibb County
01009,Unidentified disaster,2020,720744.0,Blount County
01009,none,2021,0.0,Blount County
01009,none,2022,0.0,Blount County
01009,none,2023,0.0,Blount County
01011,none,2020,0.0,Bullock County
01011,none,2021,0.0,Bullock County
01011,none,2022,0.0,Bullock County
01011,none,2023,0.0,Bullock County
01013,none,2020,0.0,Butler County
01013,none,2021,0.0,Butler County
01013,none,2022,0.0,Butler County
01013,none,2023,0.0,Butler County
01015,Unidentified disaster,2020,292872.0,Calhoun County
01015,none,2021,0.0,Calhoun County
01015,none,2022,0.0,Calhoun County
01015,none,2023,0.0,Calhoun County
01017,none,2020,0.0,Chambers County
01017,none,2021,0.0,Chambers County
01017,none,2022,0.0,Chambers County
01017,none,2023,0.0,Chambers County
01019,none,2020,0.0,Cherokee County
01019,none,2021,0.0,Cherokee County
01019,none,2022,0.0,Cherokee County
01019,none,2023,0.0,Cherokee County
01021,Unidentified disaster,2020,100292.13,Chilton County
01021,Unidentified disaster,2021,176768.16,Chilton County
01021,Unidentified disaster,2022,402156.5,Chilton County
01021,Unidentified disaster,2023,10729216.18,Chilton County
01023,none,2020,0.0,Choctaw County
01023,none,2021,0.0,Choctaw County
01023,none,2022,0.0,Choctaw County
01023,none,2023,0.0,Choctaw County
01025,none,2020,0.0,Clarke County
01025,none,2021,0.0,Clarke County
01025,none,2022,0.0,Clarke County
01025,none,2023,0.0,Clarke County
01027,none,2020,0.0,Clay County
01027,none,2021,0.0,Clay County
01027,none,2022,0.0,Clay County
01027,none,2023,0.0,Clay County
01029,none,2020,0.0,Cleburne County
01029,none,2021,0.0,Cleburne County
01029,none,2022,0.0,Cleburne County
01029,none,2023,0.0,Cleburne County
01031,none,2020,0.0,Coffee County
01031,none,2021,0.0,Coffee County
01031,none,2022,0.0,Coffee County
01031,none,2023,0.0,Coffee County
01033,Unidentified disaster,2020,105000.0,Colbert County
01033,none,2021,0.0,Colbert County
01033,none,2022,0.0,Colbert County
01033,none,2023,0.0,Colbert County
01035,none,2020,0.0,Conecuh County
01035,none,2021,0.0,Conecuh County
01035,none,2022,0.0,Conecuh County
01035,none,2023,0.0,Conecuh County
01037,none,2020,0.0,Coosa County
01037,none,2021,0.0,Coosa County
