,date,sector,GVA
0,3/31/97,Agriculture,2151
1,6/30/97,Agriculture,2211
2,9/30/97,Agriculture,2277
3,12/31/97,Agriculture,2290
4,3/31/98,Agriculture,2357
5,6/30/98,Agriculture,2318
6,9/30/98,Agriculture,2380
7,12/31/98,Agriculture,2292
8,3/31/99,Agriculture,2243
9,6/30/99,Agriculture,2201
10,9/30/99,Agriculture,2166
11,12/31/99,Agriculture,2198
12,3/31/00,Agriculture,2176
13,6/30/00,Agriculture,2243
14,9/30/00,Agriculture,2324
15,12/31/00,Agriculture,2281
16,3/31/01,Agriculture,2151
17,6/30/01,Agriculture,2106
18,9/30/01,Agriculture,2161
19,12/31/01,Agriculture,2289
20,3/31/02,Agriculture,2612
21,6/30/02,Agriculture,2653
22,9/30/02,Agriculture,2646
23,12/31/02,Agriculture,2719
24,3/31/03,Agriculture,2588
25,6/30/03,Agriculture,2630
26,9/30/03,Agriculture,2704
27,12/31/03,Agriculture,2780
28,3/31/04,Agriculture,2659
29,6/30/04,Agriculture,2501
30,9/30/04,Agriculture,2355
31,12/31/04,Agriculture,2120
32,3/31/05,Agriculture,2020
33,6/30/05,Agriculture,1897
34,9/30/05,Agriculture,1832
35,12/31/05,Agriculture,1872
36,3/31/06,Agriculture,1958
37,6/30/06,Agriculture,2026
38,9/30/06,Agriculture,2212
39,12/31/06,Agriculture,2205
40,3/31/07,Agriculture,2084
41,6/30/07,Agriculture,2018
42,9/30/07,Agriculture,2149
43,12/31/07,Agriculture,2437
44,3/31/08,Agriculture,2680
45,6/30/08,Agriculture,2681
46,9/30/08,Agriculture,2709
47,12/31/08,Agriculture,2678
48,3/31/09,Agriculture,2784
49,6/30/09,Agriculture,2713
50,9/30/09,Agriculture,2553
51,12/31/09,Agriculture,2420
52,3/31/10,Agriculture,2321
53,6/30/10,Agriculture,2316
54,9/30/10,Agriculture,2339
55,12/31/10,Agriculture,2461
56,3/31/11,Agriculture,2846
57,6/30/11,Agriculture,2947
58,9/30/11,Agriculture,2848
59,12/31/11,Agriculture,2707
60,3/31/12,Agriculture,2536
61,6/30/12,Agriculture,2651
62,9/30/12,Agriculture,2763
63,12/31/12,Agriculture,2819
64,3/31/13,Agriculture,2673
65,6/30/13,Agriculture,2732
66,9/30/13,Agriculture,2859
67,12/31/13,Agriculture,3018
68,3/31/14,Agriculture,3370
69,6/30/14,Agriculture,3530
70,9/30/14,Agriculture,3523
71,12/31/14,Agriculture,3453
72,3/31/15,Agriculture,3097
73,6/30/15,Agriculture,3032
74,9/30/15,Agriculture,2966
75,12/31/15,Agriculture,3001
76,3/31/16,Agriculture,2682
77,6/30/16,Agriculture,2797
