Age,Gender,Population
0-4,F,24614707
5-9,F,39756447
10-14,F,41644072
15-19,F,38253594
20-24,F,36615697
25-29,F,39287194
30-34,F,50164764
35-39,F,56495290
40-44,F,48837006
45-49,F,46313285
50-54,F,59460159
55-59,F,57625452
60-64,F,42810616
65-69,F,38857886
70-74,F,33775418
75-79,F,19906556
80-84,F,12001881
85-89,F,6766075
90-94,F,2586829
95-99,F,484289
100+,F,40333
0-4,M,27342843
5-9,M,45398567
10-14,M,48445649
15-19,M,44868456
20-24,M,42803564
25-29,M,45182391
30-34,M,55935859
35-39,M,61039493
40-44,M,51487433
45-49,M,48029599
50-54,M,60406262
55-59,M,57124174
60-64,M,41231415
65-69,M,35337006
70-74,M,28412466
75-79,M,16122783
80-84,M,8653262
85-89,M,3987530
90-94,M,1092561
95-99,M,119555
100+,M,2849
