date,value,MA,year,month
2002-01,,,2002,1
2002-02,,,2002,2
2002-03,,,2002,3
2002-04,53.98446,,2002,4
2002-05,51.19107,,2002,5
2002-06,,,2002,6
2002-07,,,2002,7
2002-08,5.90046,,2002,8
2002-09,-3.10715,,2002,9
2002-10,-5.49747,,2002,10
2002-11,-0.53563,,2002,11
2002-12,3.40629,8.7785025,2002,12
2003-01,19.21844,10.38003917,2003,1
2003-02,23.31774,12.32318417,2003,2
2003-03,32.77893,15.05476167,2003,3
2003-04,34.18732,13.405,2003,4
2003-05,33.7127,11.94846917,2003,5
2003-06,,11.94846917,2003,6
2003-07,10.38876,12.81419917,2003,7
2003-08,-2.50763,12.113525,2003,8
2003-09,-7.51985,11.7458,2003,9
2003-10,-10.55439,11.32439,2003,10
2003-11,-4.57157,10.98806167,2003,11
2003-12,7.91458,11.3637525,2003,12
2004-01,19.36975,11.37636167,2004,1
2004-02,30.4368,11.96961667,2004,2
2004-03,31.23257,11.84075333,2004,3
2004-04,45.4747,12.78136833,2004,4
2004-05,40.1327,13.31636833,2004,5
2004-06,27.87768,15.63950833,2004,6
2004-07,13.43994,15.89377333,2004,7
2004-08,-4.22994,15.7502475,2004,8
2004-09,-10.46047,15.50519583,2004,9
2004-10,-12.87048,15.31218833,2004,10
2004-11,3.60582,15.9936375,2004,11
2004-12,13.86328,16.4893625,2004,12
2005-01,21.7896,16.69101667,2005,1
2005-02,34.98222,17.06980167,2005,2
2005-03,40.89291,17.87483,2005,3
2005-04,42.42201,17.62043917,2005,4
2005-05,44.02449,17.944755,2005,5
2005-06,21.94894,17.45069333,2005,6
2005-07,4.38089,16.6957725,2005,7
2005-08,-3.7279,16.73760917,2005,8
2005-09,-7.50085,16.98424417,2005,9
2005-10,-8.21639,17.372085,2005,10
2005-11,-6.06362,16.56629833,2005,11
2005-12,3.96544,15.74147833,2005,12
2006-01,14.61625,15.14369917,2006,1
2006-02,24.15956,14.24181083,2006,2
2006-03,36.15846,13.84727333,2006,3
2006-04,42.22733,13.83105,2006,4
2006-05,33.68073,12.96907,2006,5
2006-06,22.43171,13.00930083,2006,6
2006-07,0.1344,12.65542667,2006,7
2006-08,-4.91404,12.55658167,2006,8
2006-09,-13.52368,12.05467917,2006,9
2006-10,-17.96128,11.242605,2006,10
2006-11,-3.9468,11.41900667,2006,11
2006-12,9.20524,11.85565667,2006,12
2007-01,23.04245,12.55784,2007,1
2007-02,29.68838,13.018575,2007,2
2007-03,36.31984,13.03202333,2007,3
2007-04,40.59678,12.89614417,2007,4
2007-05,38.09102,13.26366833,2007,5
2007-06,23.71769,13.37083333,2007,6
2007-07,5.87798,13.849465,2007,7
2007-08,-1.97035,14.0947725,2007,8
2007-09,-11.82544,14.2362925,2007,9
2007-10,-18.73251,14.17202333,2007,10
2007-11,-13.00751,13.41696417,2007,11
2007-12,0.25604,12.6711975,2007,12
2008-01,9.10398,11.50965833,2008,1
2008-02,24.13867,11.0471825,2008,2
