county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01001,36006,0.017514776,0.003948667,0.010121457,0.016486058
01001,36703,0.004324636,0.004935834,0.000000000,0.004294965
01001,36749,0.014343376,0.001974334,0.014170040,0.013512621
01001,36068,0.047246648,0.196939783,0.004048583,0.056561385
01001,36701,0.001874009,0.000493583,0.000000000,0.001751024
01001,36008,0.000973043,0.001974334,0.000000000,0.001024184
01001,36066,0.294615828,0.263079961,0.558704453,0.296815118
01001,36022,0.079393109,0.012339585,0.016194332,0.073873398
01001,36091,0.007459997,0.001974334,0.000000000,0.006971059
01001,36758,0.005982413,0.000987167,0.000000000,0.005550416
01001,36003,0.034741243,0.016288253,0.034412955,0.033500727
01001,36051,0.030957186,0.013820336,0.010121457,0.029470067
01001,36067,0.460573735,0.481243830,0.352226721,0.460188978
01003,36480,0.000043455,0.000000000,0.000000000,0.000039388
01003,36502,0.000774952,0.000592417,0.000000000,0.000748380
01003,36576,0.014948614,0.002285037,0.022950820,0.014094493
01003,36507,0.067862652,0.061357481,0.090573770,0.067721839
01003,36551,0.028890514,0.018534191,0.022131148,0.027978914
01003,36547,0.053478957,0.053825322,0.000819672,0.052662330
01003,36550,0.000919803,0.000338524,0.000000000,0.000859981
01003,36579,0.006033040,0.002115775,0.004508197,0.005704757
01003,36535,0.117184388,0.153859174,0.140983607,0.120410427
01003,36533,0.009364611,0.049255247,0.000819672,0.012322014
01003,36542,0.105972927,0.063642519,0.124590164,0.102987612
01003,36567,0.043846371,0.035545024,0.070901639,0.043635815
01003,36574,0.006004070,0.002031144,0.006557377,0.005704757
01003,36562,0.005330514,0.001438727,0.009836066,0.005100802
01003,36526,0.120856359,0.158683142,0.115163934,0.123699361
01003,36530,0.036516915,0.016333785,0.027049180,0.034799677
01003,36527,0.049423131,0.055602573,0.073360656,0.050285894
01003,36555,0.004157221,0.000677048,0.004508197,0.003892890
01003,36559,0.005953372,0.010917400,0.000409836,0.006249631
01003,36577,0.004685927,0.023696682,0.000819672,0.006098642
01003,36564,0.008292715,0.007786053,0.000409836,0.008127146
01003,36511,0.005685398,0.004570074,0.002459016,0.005547204
01003,36580,0.027253699,0.024881517,0.028278689,0.027086110
01003,36549,0.022929899,0.004993230,0.000819672,0.021184410
