State/Area,Harris pred,Trump pred,Other pred,Net pred (Harris positive Trump negative),Harris act,Trump act,Other act,Net act,Forcast
National,0.484,0.472,0.044,0.012,0.4833,0.498,0.0187,-0.0147,Swing
Alabama,,,,,,,,,
Alaska,0.43,0.51,0.06,-0.08,0.414,0.545,0.041,-0.131,Likely Trump
Arizona,0.468,0.485,0.047,-0.017,0.467,0.522,0.011,-0.055,Lean Trump
Arkansas,0.4,0.56,0.04,-0.16,0.336,0.642,0.022,-0.306,Safe Trump
California,0.59,0.342,0.068,0.248,0.585,0.383,0.032,0.202,Safe Harris
Colorado,0.525,0.425,0.05,0.1,0.542,0.432,0.026,0.11,Safe Harris
Connecticut,0.57,0.41,0.02,0.16,0.564,0.419,0.017,0.145,Safe Harris
Delaware,0.55,0.365,0.085,0.185,0.566,0.419,0.015,0.147,Safe Harris
Florida,0.449,0.511,0.04,-0.062,0.43,0.561,0.009,-0.131,Likely Trump
Georgia,0.475,0.487,0.038,-0.012,0.485,0.507,0.008,-0.022,Swing
Hawaii,,,,,,,,,
Idaho,,,,,,,,,
Illinois,,,,,,,,,
Indiana,0.395,0.56,0.045,-0.165,0.397,0.586,0.017,-0.189,Safe Trump
Iowa,0.453,0.5,0.047,-0.047,0.427,0.56,0.013,-0.133,Likely Trump
Kansas,0.43,0.48,0.09,-0.05,0.41,0.572,0.018,-0.162,Likely Trump
Kentucky,,,,,,,,,
Louisana,,,,,,,,,
Maine Dist. 1,0.58,0.353,0.067,0.227,0.6,0.378,0.022,0.222,Likely Trump
Maine Dist. 2,0.427,0.487,0.086,-0.06,0.444,0.536,0.02,-0.092,Likely Harris
Maryland,0.602,0.33,0.068,0.272,0.631,0.343,0.026,0.288,Safe Harris
Massachusetts,0.595,0.318,0.087,0.277,0.616,0.362,0.022,0.254,Safe Harris
Michigan,0.486,0.468,0.046,0.018,0.483,0.497,0.02,-0.014,Swing
Minnesota,0.498,0.436,0.066,0.062,0.511,0.469,0.02,0.042,Likely Harris
Mississippi,,,,,,,,,
Missouri,0.39,0.54,0.07,-0.15,0.401,0.585,0.014,-0.184,Safe Trump
Montana,0.395,0.575,0.03,-0.18,0.385,0.584,0.031,-0.199,Safe Trump
Nebraska Dist. 1,0.44,0.5,0.06,-0.06,0.428,0.558,0.014,-0.13,Safe Trump
Nebraska Dist. 2,0.53,0.43,0.04,0.1,0.516,0.47,0.014,0.046,Likely Harris
Nebraska Dist.3,0.23,0.71,0.06,-0.48,0.225,0.763,0.012,-0.538,Safe Trump
Nevada,0.476,0.482,0.042,-0.006,0.475,0.506,0.019,-0.031,Swing
New Hampshire,0.508,0.455,0.037,0.053,0.509,0.481,0.01,0.028,Likely Harris
New Jersey,0.547,0.383,0.07,0.164,0.52,0.461,0.019,0.059,Safe Harris
New Mexico,0.489,0.438,0.073,0.051,0.519,0.459,0.022,0.06,Likely Harris
New York,0.573,0.397,0.03,0.176,0.563,0.437,0,0.126,Safe Harris
North Carolina,0.473,0.486,0.041,-0.013,0.478,0.51,0.012,-0.032,Swing
North Dakota,0.32,0.59,0.09,-0.27,0.308,0.675,0.017,-0.367,Safe Trump
Ohio,0.443,0.52,0.037,-0.077,0.44,0.552,0.008,-0.112,Likely Trump
Oklahoma,0.4,0.56,0.04,-0.16,0.319,0.662,0.019,-0.343,Safe Trump
Oregon,0.53,0.41,0.06,0.12,0.557,0.412,0.031,0.145,Safe Harris
Pennsylvania,0.482,0.482,0.036,0,0.487,0.504,0.009,-0.017,Swing
Rhode Island,0.54,0.4,0.06,0.14,0.558,0.42,0.022,0.138,Safe Harris
South Carolina,0.42,0.537,0.043,-0.117,0.404,0.582,0.014,-0.178,Safe Trump
South Dakota,0.34,0.605,0.055,-0.265,0.342,0.634,0.024,-0.292,Safe Trump
Tennessee,0.35,0.56,0.09,-0.21,0.345,0.642,0.013,-0.297,Safe Trump
Texas,0.444,0.518,0.038,-0.074,0.425,0.562,0.013,-0.137,Likely Trump
Utah,0.32,0.575,0.105,-0.255,0.378,0.594,0.028,-0.216,Safe Trump
Vermont,0.63,0.31,0.06,0.32,0.644,0.326,0.03,0.318,Safe Harris
Virigina,0.492,0.434,0.074,0.058,0.521,0.463,0.016,0.058,Likely Harris
Washington,0.558,0.365,0.077,0.193,0.576,0.393,0.031,0.183,Safe Harris
West Virginia,0.34,0.61,0.05,-0.27,0.281,0.7,0.019,-0.419,Safe Trump
Wisconsin,0.448,0.477,0.075,-0.029,0.489,0.497,0.014,-0.008,Swing
Wyoming,0.275,0.66,0.065,-0.385,0.264,0.721,0.015,-0.457,Safe Trump
