county,Hazard,totalSubapplicationAmount,Hazard_color
01001,Flooding,17956600.0,00AAFF
01003,Flooding,2273303.22,00AAFF
01003,Infrastructure failure,125000.0,884DFF
01009,Tornado,720744.0,4F666A
01015,Flooding,84000.0,00AAFF
01015,Tornado,208872.0,4F666A
01019,Severe storm,179560.0,FFFF00
01021,Flooding,4900000.33,00AAFF
01033,Flooding,105000.0,00AAFF
01037,Flooding,2100000.0,00AAFF
01047,Flooding,17956600.0,00AAFF
01055,Severe storm,179560.0,FFFF00
01065,Tornado,2820343.0,4F666A
01071,Infrastructure failure,1848105.0,884DFF
01073,Flooding,4556033.25,00AAFF
01073,Tornado,720744.0,4F666A
01075,Tornado,192500.0,4F666A
01081,Severe storm,701495.3,FFFF00
01085,Flooding,17956600.0,00AAFF
01089,Flooding,200000.0,00AAFF
01089,Tornado,11800000.0,4F666A
01093,Tornado,297150.0,4F666A
01097,Flooding,9610922.0,00AAFF
01097,Infrastructure failure,34466227.85,884DFF
01097,Tropical cyclone (Hurricane/Typhoon),155540.0,00AAFF
01101,Severe storm,1160041.05,FFFF00
01101,Tropical cyclone (Hurricane/Typhoon),966990.0,00AAFF
01103,Tornado,1484598.68,4F666A
01105,Flooding,17956600.0,00AAFF
01105,Tornado,2820343.0,4F666A
01113,Severe storm,701495.3,FFFF00
01117,Flooding,27480211.25,00AAFF
02016,Earthquake,389125.31,FFFFFF
02016,Flooding,869690.0,00AAFF
02016,Severe storm,473685.69,FFFF00
02020,Earthquake,3600274.0,FFFFFF
02020,Extreme temperature,34660000.0,CC5500
02020,Fire,49500.0,FF1919
02020,Flooding,2959017.0,00AAFF
02020,Severe storm,568765.0,FFFF00
02020,Tsunami,62059.01,00AAFF
02020,Winter storm,2924870.0,A0E6FF
02050,Dam/Levee break,117000.0,00AAFF
02050,Flooding,2404274.15,00AAFF
02050,Infrastructure failure,160627.08,884DFF
02050,Landslide/Debris flow,179885.0,644117
02050,Severe storm,10534230.93,FFFF00
02090,Earthquake,22692873.0,FFFFFF
02100,Landslide/Debris flow,149548.3,644117
02110,Earthquake,655977.0,FFFFFF
02110,Flooding,1812052.0,00AAFF
02122,Flooding,1117602.4,00AAFF
02122,Severe storm,677277.78,FFFF00
02122,Tsunami,150000.0,00AAFF
02122,Winter storm,77294.0,A0E6FF
02130,Severe storm,215439.0,FFFF00
02150,Earthquake,29340.0,FFFFFF
02150,Severe storm,500000.0,FFFF00
02164,Earthquake,620000.0,FFFFFF
02170,Flooding,600000.0,00AAFF
02170,Infrastructure failure,2000000.0,884DFF
02180,Infrastructure failure,5997500.0,884DFF
02185,Extreme temperature,652722.47,CC5500
02185,Winter storm,29929141.0,A0E6FF
02188,Flooding,902147.0,00AAFF
02188,Severe storm,297220.15,FFFF00
02198,Drought,6211210.15,CC5500
02198,Earthquake,132210.8,FFFFFF
02198,Infrastructure failure,178885.0,884DFF
02198,Severe storm,855779.0,FFFF00
02198,Tsunami,151250.0,00AAFF
02230,Landslide/Debris flow,1623037.55,644117
02261,Flooding,863170.56,00AAFF
02270,Flooding,300000.0,00AAFF
02270,Severe storm,500000.0,FFFF00
02282,Severe storm,101400.0,FFFF00
02290,Flooding,2181056.5,00AAFF
04001,Flooding,1197382.0,00AAFF
04001,Infrastructure failure,59850.0,884DFF
04001,Severe storm,883676.52,FFFF00
04003,Drought,144044506.16,CC5500
04003,Fire,51337950.0,FF1919
04003,Flooding,262500.0,00AAFF
04005,Fire,346722.0,FF1919
04005,Flooding,58383644.78,00AAFF
04005,Landslide/Debris flow,1489600.0,644117
04007,Flooding,1153581.56,00AAFF
04012,Severe storm,50093.12,FFFF00
04013,Dam/Levee break,621600.0,00AAFF
04013,Extreme temperature,46241517.45,CC5500
04013,Flooding,161432298.82,00AAFF
04013,Infrastructure failure,86224752.0,884DFF
04015,Flooding,8250000.0,00AAFF
04017,Dam/Levee break,3839258.0,00AAFF
04017,Severe storm,167448.0,FFFF00
04019,Earthquake,75505.6,FFFFFF
04019,Flooding,7186720.609999999,00AAFF
04019,Landslide/Debris flow,164834.90999999997,644117
04019,Severe storm,8217527.55,FFFF00
04021,Flooding,121036199.56,00AAFF
04021,Severe storm,442500.0,FFFF00
04025,Flooding,4527041.58,00AAFF
04025,Severe storm,588850.0,FFFF00
04027,Flooding,14990854.0,00AAFF
05003,Fire,35000.0,FF1919
05003,Severe storm,35000.0,FFFF00
05007,Flooding,7340437.5,00AAFF
05009,Flooding,40000.0,00AAFF
05013,Flooding,96026.0,00AAFF
05015,Flooding,20000.0,00AAFF
05017,Severe storm,35000.0,FFFF00
05019,Flooding,40000.0,00AAFF
05019,Tornado,1797414.08,4F666A
05021,Flooding,32600.0,00AAFF
05023,Flooding,12754900.0,00AAFF
05023,Tornado,1272228.0,4F666A
05027,Flooding,497268.0,00AAFF
05029,Tornado,40000.0,4F666A
05031,Flooding,1360800.0,00AAFF
05031,Winter storm,4005511.37,A0E6FF
05033,Flooding,1201720.0,00AAFF
05037,Tornado,11139282.0,4F666A
05039,Flooding,89626.0,00AAFF
05043,Fire,35000.0,FF1919
05045,Flooding,30070667.66,00AAFF
05045,Tornado,1256115.24,4F666A
05047,Tornado,2040985.93,4F666A
