,description,quote_date,price,months_since_start,price_trend
115,HOME CARE ASSISTANT HRLY RATE,2014-09-01,14.0,0,13.474877915618052
116,HOME CARE ASSISTANT HRLY RATE,2014-10-01,14.0,30,13.543971654375621
117,HOME CARE ASSISTANT HRLY RATE,2014-11-01,14.0,61,13.615368517758442
118,HOME CARE ASSISTANT HRLY RATE,2014-12-01,14.0,91,13.684462256516012
119,HOME CARE ASSISTANT HRLY RATE,2015-01-01,14.0,122,13.755859119898833
120,HOME CARE ASSISTANT HRLY RATE,2015-02-01,14.0,153,13.827255983281654
121,HOME CARE ASSISTANT HRLY RATE,2015-03-01,14.0,181,13.891743472788718
122,HOME CARE ASSISTANT HRLY RATE,2015-04-01,14.0,212,13.96314033617154
123,HOME CARE ASSISTANT HRLY RATE,2015-05-01,14.4,242,14.032234074929109
124,HOME CARE ASSISTANT HRLY RATE,2015-06-01,14.5,273,14.10363093831193
125,HOME CARE ASSISTANT HRLY RATE,2015-07-01,14.5,303,14.1727246770695
126,HOME CARE ASSISTANT HRLY RATE,2015-08-01,14.495000000000001,334,14.244121540452321
127,HOME CARE ASSISTANT HRLY RATE,2015-09-01,14.445,365,14.315518403835142
128,HOME CARE ASSISTANT HRLY RATE,2015-10-01,14.55,395,14.384612142592712
129,HOME CARE ASSISTANT HRLY RATE,2015-11-01,14.55,426,14.456009005975533
130,HOME CARE ASSISTANT HRLY RATE,2015-12-01,14.55,456,14.5251027447331
131,HOME CARE ASSISTANT HRLY RATE,2016-01-01,14.55,487,14.596499608115922
132,HOME CARE ASSISTANT HRLY RATE,2016-02-01,14.535,518,14.667896471498743
133,HOME CARE ASSISTANT HRLY RATE,2016-03-01,14.5,547,14.73468708563106
134,HOME CARE ASSISTANT HRLY RATE,2016-04-01,14.725000000000001,578,14.806083949013882
135,HOME CARE ASSISTANT HRLY RATE,2016-05-01,14.8,608,14.875177687771451
136,HOME CARE ASSISTANT HRLY RATE,2016-06-01,15.0,639,14.946574551154272
137,HOME CARE ASSISTANT HRLY RATE,2016-07-01,15.2,669,15.015668289911842
138,HOME CARE ASSISTANT HRLY RATE,2016-08-01,15.4,700,15.087065153294663
139,HOME CARE ASSISTANT HRLY RATE,2016-09-01,15.4,731,15.158462016677484
140,HOME CARE ASSISTANT HRLY RATE,2016-10-01,15.415,761,15.227555755435052
141,HOME CARE ASSISTANT HRLY RATE,2016-11-01,15.415,792,15.298952618817875
142,HOME CARE ASSISTANT HRLY RATE,2016-12-01,15.43,822,15.368046357575443
143,HOME CARE ASSISTANT HRLY RATE,2017-01-01,15.45,853,15.439443220958264
144,HOME CARE ASSISTANT HRLY RATE,2017-02-01,15.5,884,15.510840084341087
145,HOME CARE ASSISTANT HRLY RATE,2017-03-01,15.5,912,15.575327573848151
146,HOME CARE ASSISTANT HRLY RATE,2017-04-01,15.555,943,15.646724437230972
147,HOME CARE ASSISTANT HRLY RATE,2017-05-01,15.75,973,15.715818175988542
148,HOME CARE ASSISTANT HRLY RATE,2017-06-01,15.74,1004,15.787215039371361
149,HOME CARE ASSISTANT HRLY RATE,2017-07-01,15.73,1034,15.85630877812893
150,HOME CARE ASSISTANT HRLY RATE,2017-08-01,16.0,1065,15.927705641511753
151,HOME CARE ASSISTANT HRLY RATE,2017-09-01,16.0,1096,15.999102504894573
152,HOME CARE ASSISTANT HRLY RATE,2017-10-01,16.0,1126,16.068196243652142
153,HOME CARE ASSISTANT HRLY RATE,2017-11-01,16.0,1157,16.139593107034965
154,HOME CARE ASSISTANT HRLY RATE,2017-12-01,16.0,1187,16.208686845792535
155,HOME CARE ASSISTANT HRLY RATE,2018-01-01,16.0,1218,16.280083709175354
156,HOME CARE ASSISTANT HRLY RATE,2018-02-01,16.0,1249,16.351480572558177
157,HOME CARE ASSISTANT HRLY RATE,2018-03-01,16.0,1277,16.41596806206524
158,HOME CARE ASSISTANT HRLY RATE,2018-04-01,16.0,1308,16.487364925448063
159,HOME CARE ASSISTANT HRLY RATE,2018-05-01,16.0,1338,16.556458664205632
160,HOME CARE ASSISTANT HRLY RATE,2018-06-01,16.154999500000002,1369,16.62785552758845
161,HOME CARE ASSISTANT HRLY RATE,2018-07-01,16.219999,1399,16.69694926634602
162,HOME CARE ASSISTANT HRLY RATE,2018-08-01,16.46,1430,16.76834612972884
163,HOME CARE ASSISTANT HRLY RATE,2018-09-01,16.46,1461,16.839742993111663
164,HOME CARE ASSISTANT HRLY RATE,2018-10-01,16.42,1491,16.908836731869233
165,HOME CARE ASSISTANT HRLY RATE,2018-11-01,16.65,1522,16.980233595252052
166,HOME CARE ASSISTANT HRLY RATE,2018-12-01,16.755000000000003,1552,17.04932733400962
167,HOME CARE ASSISTANT HRLY RATE,2019-01-01,16.76,1583,17.120724197392445
168,HOME CARE ASSISTANT HRLY RATE,2019-02-01,16.83,1614,17.192121060775264
169,HOME CARE ASSISTANT HRLY RATE,2019-03-01,16.76,1642,17.25660855028233
170,HOME CARE ASSISTANT HRLY RATE,2019-04-01,17.0,1673,17.328005413665153
171,HOME CARE ASSISTANT HRLY RATE,2019-05-01,17.0,1703,17.39709915242272
172,HOME CARE ASSISTANT HRLY RATE,2019-06-01,17.465,1734,17.468496015805542
173,HOME CARE ASSISTANT HRLY RATE,2019-07-01,17.415,1764,17.53758975456311
174,HOME CARE ASSISTANT HRLY RATE,2019-08-01,17.5,1795,17.60898661794593
175,HOME CARE ASSISTANT HRLY RATE,2019-09-01,17.58,1826,17.680383481328754
176,HOME CARE ASSISTANT HRLY RATE,2019-10-01,17.58,1856,17.749477220086323
177,HOME CARE ASSISTANT HRLY RATE,2019-11-01,17.66,1887,17.820874083469143
178,HOME CARE ASSISTANT HRLY RATE,2019-12-01,17.66,1917,17.889967822226712
179,HOME CARE ASSISTANT HRLY RATE,2020-01-01,17.66,1948,17.961364685609535
180,HOME CARE ASSISTANT HRLY RATE,2020-02-01,17.66,1979,18.032761548992355
181,HOME CARE ASSISTANT HRLY RATE,2020-03-01,17.66,2008,18.09955216312467
182,HOME CARE ASSISTANT HRLY RATE,2020-04-01,17.8050005,2039,18.170949026507493
183,HOME CARE ASSISTANT HRLY RATE,2020-05-01,17.9750005,2069,18.240042765265063
184,HOME CARE ASSISTANT HRLY RATE,2020-06-01,18.0,2100,18.311439628647882
185,HOME CARE ASSISTANT HRLY RATE,2020-07-01,18.0,2130,18.380533367405455
186,HOME CARE ASSISTANT HRLY RATE,2020-08-01,18.0,2161,18.451930230788275
187,HOME CARE ASSISTANT HRLY RATE,2020-09-01,18.0,2192,18.523327094171094
188,HOME CARE ASSISTANT HRLY RATE,2020-10-01,18.365001,2222,18.592420832928664
189,HOME CARE ASSISTANT HRLY RATE,2020-11-01,18.799999,2253,18.663817696311487
190,HOME CARE ASSISTANT HRLY RATE,2020-12-01,18.889999,2283,18.732911435069056
191,HOME CARE ASSISTANT HRLY RATE,2021-01-01,18.92,2314,18.804308298451875
192,HOME CARE ASSISTANT HRLY RATE,2021-02-01,19.0,2345,18.8757051618347
193,HOME CARE ASSISTANT HRLY RATE,2021-03-01,19.299999,2373,18.94019265134176
194,HOME CARE ASSISTANT HRLY RATE,2021-04-01,19.559999,2404,19.011589514724584
195,HOME CARE ASSISTANT HRLY RATE,2021-05-01,19.559999,2434,19.080683253482153
196,HOME CARE ASSISTANT HRLY RATE,2021-06-01,20.0,2465,19.152080116864973
197,HOME CARE ASSISTANT HRLY RATE,2021-07-01,20.0,2495,19.221173855622542
198,HOME CARE ASSISTANT HRLY RATE,2021-08-01,20.0,2526,19.292570719005365
199,HOME CARE ASSISTANT HRLY RATE,2021-09-01,20.0,2557,19.363967582388184
200,HOME CARE ASSISTANT HRLY RATE,2021-10-01,20.0,2587,19.433061321145754
201,HOME CARE ASSISTANT HRLY RATE,2021-11-01,20.0,2618,19.504458184528577
202,HOME CARE ASSISTANT HRLY RATE,2021-12-01,20.0,2648,19.573551923286146
203,HOME CARE ASSISTANT HRLY RATE,2022-01-01,20.0,2679,19.644948786668966
204,HOME CARE ASSISTANT HRLY RATE,2022-02-01,20.0,2710,19.71634565005179
205,HOME CARE ASSISTANT HRLY RATE,2022-03-01,20.0,2738,19.78083313955885
206,HOME CARE ASSISTANT HRLY RATE,2022-04-01,20.0,2769,19.852230002941674
207,HOME CARE ASSISTANT HRLY RATE,2022-05-01,20.309999,2799,19.921323741699243
208,HOME CARE ASSISTANT HRLY RATE,2022-06-01,21.175,2830,19.992720605082063
209,HOME CARE ASSISTANT HRLY RATE,2022-07-01,21.799999,2860,20.061814343839632
210,HOME CARE ASSISTANT HRLY RATE,2022-08-01,22.0,2891,20.133211207222455
211,HOME CARE ASSISTANT HRLY RATE,2022-09-01,22.0,2922,20.204608070605275
212,HOME CARE ASSISTANT HRLY RATE,2022-10-01,22.130000000000003,2952,20.273701809362844
213,HOME CARE ASSISTANT HRLY RATE,2022-11-01,22.0,2983,20.345098672745664
214,HOME CARE ASSISTANT HRLY RATE,2022-12-01,22.290001,3013,20.414192411503237
215,HOME CARE ASSISTANT HRLY RATE,2023-01-01,22.290001,3044,20.485589274886056
216,HOME CARE ASSISTANT HRLY RATE,2023-02-01,22.290001,3075,20.556986138268876
217,HOME CARE ASSISTANT HRLY RATE,2023-03-01,22.469999,3103,20.62147362777594
218,HOME CARE ASSISTANT HRLY RATE,2023-04-01,22.7650005,3134,20.692870491158764
219,HOME CARE ASSISTANT HRLY RATE,2023-05-01,23.0,3164,20.76196422991633
220,HOME CARE ASSISTANT HRLY RATE,2023-06-01,24.0,3195,20.833361093299153
221,HOME CARE ASSISTANT HRLY RATE,2023-07-01,24.0,3225,20.902454832056723
222,HOME CARE ASSISTANT HRLY RATE,2023-08-01,24.5,3256,20.973851695439542
223,HOME CARE ASSISTANT HRLY RATE,2023-09-01,24.5,3287,21.045248558822365
224,HOME CARE ASSISTANT HRLY RATE,2023-10-01,25.0,3317,21.114342297579935
225,HOME CARE ASSISTANT HRLY RATE,2023-11-01,25.0,3348,21.185739160962754
226,HOME CARE ASSISTANT HRLY RATE,2023-12-01,25.0,3378,21.254832899720324
227,HOME CARE ASSISTANT HRLY RATE,2024-01-01,25.0,3409,21.326229763103147
228,HOME CARE ASSISTANT HRLY RATE,2024-02-01,25.0,3440,21.397626626485966
229,HOME CARE ASSISTANT HRLY RATE,2024-03-01,25.0,3469,21.464417240618285
230,HOME CARE ASSISTANT HRLY RATE,2024-04-01,25.0,3500,21.535814104001105
231,HOME CARE ASSISTANT HRLY RATE,2024-05-01,25.0,3530,21.604907842758674
232,HOME CARE ASSISTANT HRLY RATE,2024-06-01,25.27,3561,21.676304706141494
233,HOME CARE ASSISTANT HRLY RATE,2024-07-01,25.5,3591,21.745398444899067
234,HOME CARE ASSISTANT HRLY RATE,2024-08-01,25.68,3622,21.816795308281886
235,HOME CARE ASSISTANT HRLY RATE,2024-09-01,25.870001,3653,21.888192171664706
387,NURSING HOME,2014-09-01,725.0,0,713.665254168566
388,NURSING HOME,2014-10-01,725.0,30,716.7851035848565
389,NURSING HOME,2014-11-01,733.70001,61,720.0089479816902
390,NURSING HOME,2014-12-01,729.350005,91,723.1287973979807
391,NURSING HOME,2015-01-01,739.350005,122,726.3526417948143
392,NURSING HOME,2015-02-01,726.5,153,729.5764861916479
393,NURSING HOME,2015-03-01,726.5,181,732.4883456468524
394,NURSING HOME,2015-04-01,739.350005,212,735.7121900436861
395,NURSING HOME,2015-05-01,750.0,242,738.8320394599766
396,NURSING HOME,2015-06-01,750.0,273,742.0558838568102
397,NURSING HOME,2015-07-01,750.0,303,745.1757332731008
398,NURSING HOME,2015-08-01,750.0,334,748.3995776699344
399,NURSING HOME,2015-09-01,750.0,365,751.623422066768
400,NURSING HOME,2015-10-01,750.0,395,754.7432714830585
401,NURSING HOME,2015-11-01,753.5,426,757.9671158798922
402,NURSING HOME,2015-12-01,750.0,456,761.0869652961827
403,NURSING HOME,2016-01-01,753.5,487,764.3108096930163
404,NURSING HOME,2016-02-01,760.0,518,767.5346540898499
405,NURSING HOME,2016-03-01,760.0,547,770.5505085255975
406,NURSING HOME,2016-04-01,767.5,578,773.774352922431
407,NURSING HOME,2016-05-01,762.5,608,776.8942023387216
408,NURSING HOME,2016-06-01,772.5,639,780.1180467355553
