,ISO3,Area,Water Stress delta
0,AFG,Afghanistan,0.0
1,ALB,Albania,5.7359375
2,DZA,Algeria,-56.209840064000005
3,AGO,Angola,-0.1385676389999999
4,ATG,Antigua and Barbuda,-0.39743589699999937
5,ARG,Argentina,-1.8470972349999997
6,ARM,Armenia,-25.035303610999996
7,AUS,Australia,4.058705267000001
8,AUT,Austria,1.2904117160000013
9,AZE,Azerbaijan,-13.446058731999997
10,BHR,Bahrain,101.05548187400001
11,BGD,Bangladesh,
12,BRB,Barbados,13.75
13,BLR,Belarus,1.271588662
14,BEL,Belgium,35.76658476600001
15,BLZ,Belize,0.0
16,BEN,Benin,0.0
17,BTN,Bhutan,
18,BOL,Bolivia (Plurinational State of),-0.12490804199999994
19,BIH,Bosnia and Herzegovina,0.44590305500000005
20,BWA,Botswana,-0.41127879200000006
21,BRA,Brazil,1.186138827
22,BRN,Brunei Darussalam,0.0
23,BGR,Bulgaria,5.598344298000001
24,BFA,Burkina Faso,-1.3001912039999999
25,BDI,Burundi,0.22998544400000043
26,CPV,Cabo Verde,-49.994173334
27,KHM,Cambodia,
28,CMR,Cameroon,-0.13992831499999991
29,CAN,Canada,0.5717582630000004
30,CAF,Central African Republic,-0.023333332999999956
31,TCD,Chad,-0.2893880209999997
32,CHL,Chile,-1.3599445999999995
33,CHN,China,-1.2372007419999989
34,COL,Colombia,-3.15609785
35,COM,Comoros,0.0
36,COG,Congo,-0.00023866399999999954
37,CRI,Costa Rica,
38,HRV,Croatia,
39,CUB,Cuba,-5.90746446
40,CYP,Cyprus,-11.626181363999997
41,CZE,Czechia,10.279501216
42,CIV,Côte d'Ivoire,1.2035026269999998
43,PRK,Democratic People's Republic of Korea,-0.26196731799999995
44,COD,Democratic Republic of the Congo,-0.02641885200000002
45,DNK,Denmark,-7.3069226610000015
46,DJI,Djibouti,0.0
47,DMA,Dominica,-1.6999999999999993
48,DOM,Dominican Republic,-11.941919752
49,ECU,Ecuador,-0.3006839939999999
50,EGY,Egypt,-34.23132969000001
51,SLV,El Salvador,-3.7040548980000008
52,GNQ,Equatorial Guinea,-0.01779425400000001
53,ERI,Eritrea,-2.4279953909999996
54,EST,Estonia,4.391083022999998
55,SWZ,Eswatini,-1.5105301380000071
56,ETH,Ethiopia,
57,FJI,Fiji,-0.008966725000000009
58,FIN,Finland,1.2886276640000007
59,FRA,France,6.876431778000001
60,GAB,Gabon,-0.05429602900000002
61,GMB,Gambia,-0.1931274460000001
62,GEO,Georgia,0.9317481000000001
63,DEU,Germany,25.950213816
64,GHA,Ghana,-1.915758501
65,GRC,Greece,-2.221727696000002
66,GRD,Grenada,
67,GTM,Guatemala,-1.5489763019999998
68,GIN,Guinea,-0.512307692
69,GNB,Guinea-Bissau,0.0
70,GUY,Guyana,0.4108219169999998
71,HTI,Haiti,-0.8723858749999991
72,HND,Honduras,
73,HUN,Hungary,1.9502014970000001
74,ISL,Iceland,-0.17121891600000003
75,IND,India,-2.2633507909999935
76,IDN,Indonesia,-13.676095438
77,IRN,Iran (Islamic Republic of),-2.8879706150000004
78,IRQ,Iraq,30.493579454
79,IRL,Ireland,-17.700287609
80,ISR,Israel,4.179967215999994
81,ITA,Italy,8.584676204
82,JAM,Jamaica,-1.6220052680000006
83,JPN,Japan,4.149425288000003
84,JOR,Jordan,-25.198012753
85,KAZ,Kazakhstan,-5.208044383000001
86,KEN,Kenya,-18.291161985000002
87,KWT,Kuwait,-1857.076388889
88,KGZ,Kyrgyzstan,12.839241657000002
89,LAO,Lao People's Democratic Republic,
90,LVA,Latvia,0.508518955
91,LBN,Lebanon,-18.513951978999998
92,LSO,Lesotho,0.0
93,LBR,Liberia,-0.021884057999999984
94,LBY,Libya,-185.185714286
95,LTU,Lithuania,18.122638789
96,LUX,Luxembourg,0.8490878929999996
97,MDG,Madagascar,-0.05884518800000116
98,MWI,Malawi,-0.8987872529999983
99,MYS,Malaysia,-0.5270445339999998
100,MDV,Maldives,1.4583333330000006
101,MLI,Mali,-0.15960039000000048
102,MLT,Malta,-13.980212928
103,MRT,Mauritania,1.8368048730000002
104,MUS,Mauritius,1.6115351990000022
105,MEX,Mexico,-19.214765974000002
106,MNG,Mongolia,0.2534733990000002
107,MAR,Morocco,15.041040657000003
108,MOZ,Mozambique,-0.6773602860000001
109,MMR,Myanmar,0.0
110,NAM,Namibia,0.017794231999999965
111,NPL,Nepal,0.045790302999998644
112,NLD,Netherlands (Kingdom of the),0.849532055000001
113,NZL,New Zealand,-5.077308185
114,NIC,Nicaragua,0.288121823
115,NER,Niger,-7.310136669
116,NGA,Nigeria,-1.4848062009999996
117,MKD,North Macedonia,-21.933446273
118,NOR,Norway,-0.055788159000000004
119,OMN,Oman,-25.922077922
120,PAK,Pakistan,-55.428654683999994
121,PSE,Palestine,-9.17843389
122,PAN,Panama,
123,PNG,Papua New Guinea,-0.03256661000000001
124,PRY,Paraguay,-1.335677456
125,PER,Peru,
126,PHL,Philippines,
127,POL,Poland,9.230875736000002
128,PRT,Portugal,8.643300385
129,PRI,Puerto Rico,0.21879883899999797
130,QAT,Qatar,-130.137931035
131,KOR,Republic of Korea,-2.260945708999998
132,MDA,Republic of Moldova,0.41580041599999973
133,ROU,Romania,1.1178728590000002
134,RUS,Russian Federation,0.08776141700000029
135,RWA,Rwanda,-14.55765075
136,KNA,Saint Kitts and Nevis,
137,LCA,Saint Lucia,
138,VCT,Saint Vincent and the Grenadines,1.799999999999999
139,STP,Sao Tome and Principe,-1.0141603510000001
140,SAU,Saudi Arabia,-141.522395834
141,SEN,Senegal,-6.146464647
142,SRB,Serbia,
143,SLE,Sierra Leone,-0.04355140200000002
144,SGP,Singapore,245.11950000000002
145,SVK,Slovakia,2.438368761
146,SVN,Slovenia,
147,SOM,Somalia,-0.04016064300000011
148,ZAF,South Africa,-25.437572353000007
149,SSD,South Sudan,
150,ESP,Spain,5.561230027000001
151,LKA,Sri Lanka,0.36241234199999894
152,SDN,Sudan,
153,SUR,Suriname,0.28918109900000033
154,SWE,Sweden,0.27849927900000004
155,CHE,Switzerland,3.1350877200000005
156,SYR,Syrian Arab Republic,14.15620269
157,TJK,Tajikistan,10.036284469999998
158,THA,Thailand,
159,TLS,Timor-Leste,
160,TGO,Togo,-0.8162230670000001
161,TTO,Trinidad and Tobago,-0.9673518750000021
162,TUN,Tunisia,-26.78820811
163,TKM,Turkmenistan,-4.277520178999993
164,TUR,Türkiye,-12.969496645000003
165,UGA,Uganda,-2.6662854530000004
166,UKR,Ukraine,10.602746825999999
167,ARE,United Arab Emirates,-5.404444443999864
168,GBR,United Kingdom of Great Britain and Northern Ireland,7.065209641000001
169,TZA,United Republic of Tanzania,-1.1561484120000003
170,USA,United States of America,1.9140613569999978
171,URY,Uruguay,0.0
172,UZB,Uzbekistan,32.279896760000014
173,VEN,Venezuela (Bolivarian Republic of),-3.859253334
174,VNM,Viet Nam,-1.7728561299999974
175,YEM,Yemen,-6.895238094999996
176,ZMB,Zambia,0.030212842000000073
177,ZWE,Zimbabwe,-8.483659360000004
