id,ISO3,COUNTRY
533,ABW,Aruba
4,AFG,Afghanistan
24,AGO,Angola
660,AIA,Anguilla
248,ALA,Åland Islands
8,ALB,Albania
20,AND,Andorra
784,ARE,United Arab Emirates
32,ARG,Argentina
51,ARM,Armenia
16,ASM,American Samoa
10,ATA,Antarctica
260,ATF,French Southern Territories
28,ATG,Antigua and Barbuda
36,AUS,Australia
40,AUT,Austria
31,AZE,Azerbaijan
108,BDI,Burundi
56,BEL,Belgium
204,BEN,Benin
535,BES,"Bonaire, Sint Eustatius and Saba"
854,BFA,Burkina Faso
50,BGD,Bangladesh
100,BGR,Bulgaria
48,BHR,Bahrain
44,BHS,Bahamas
70,BIH,Bosnia and Herzegovina
652,BLM,Saint Barthélemy
112,BLR,Belarus
84,BLZ,Belize
60,BMU,Bermuda
68,BOL,"Bolivia, Plurinational State of"
76,BRA,Brazil
52,BRB,Barbados
96,BRN,Brunei Darussalam
64,BTN,Bhutan
74,BVT,Bouvet Island
72,BWA,Botswana
140,CAF,Central African Republic
124,CAN,Canada
166,CCK,Cocos (Keeling) Islands
756,CHE,Switzerland
152,CHL,Chile
156,CHN,China
384,CIV,Côte d'Ivoire
120,CMR,Cameroon
180,COD,"Congo, The Democratic Republic of the"
178,COG,Congo
184,COK,Cook Islands
170,COL,Colombia
174,COM,Comoros
132,CPV,Cabo Verde
188,CRI,Costa Rica
192,CUB,Cuba
531,CUW,Curaçao
162,CXR,Christmas Island
136,CYM,Cayman Islands
196,CYP,Cyprus
203,CZE,Czechia
276,DEU,Germany
262,DJI,Djibouti
212,DMA,Dominica
208,DNK,Denmark
214,DOM,Dominican Republic
12,DZA,Algeria
218,ECU,Ecuador
818,EGY,Egypt
232,ERI,Eritrea
732,ESH,Western Sahara
724,ESP,Spain
233,EST,Estonia
231,ETH,Ethiopia
246,FIN,Finland
242,FJI,Fiji
238,FLK,Falkland Islands (Malvinas)
250,FRA,France
234,FRO,Faroe Islands
583,FSM,"Micronesia, Federated States of"
266,GAB,Gabon
826,GBR,United Kingdom
268,GEO,Georgia
831,GGY,Guernsey
288,GHA,Ghana
292,GIB,Gibraltar
324,GIN,Guinea
312,GLP,Guadeloupe
270,GMB,Gambia
624,GNB,Guinea-Bissau
226,GNQ,Equatorial Guinea
300,GRC,Greece
308,GRD,Grenada
304,GRL,Greenland
320,GTM,Guatemala
254,GUF,French Guiana
316,GUM,Guam
328,GUY,Guyana
344,HKG,Hong Kong
334,HMD,Heard Island and McDonald Islands
340,HND,Honduras
191,HRV,Croatia
332,HTI,Haiti
348,HUN,Hungary
360,IDN,Indonesia
833,IMN,Isle of Man
356,IND,India
86,IOT,British Indian Ocean Territory
372,IRL,Ireland
364,IRN,"Iran, Islamic Republic of"
368,IRQ,Iraq
352,ISL,Iceland
376,ISR,Israel
380,ITA,Italy
388,JAM,Jamaica
832,JEY,Jersey
400,JOR,Jordan
392,JPN,Japan
398,KAZ,Kazakhstan
404,KEN,Kenya
417,KGZ,Kyrgyzstan
116,KHM,Cambodia
296,KIR,Kiribati
659,KNA,Saint Kitts and Nevis
410,KOR,"Korea, Republic of"
414,KWT,Kuwait
418,LAO,Lao People's Democratic Republic
422,LBN,Lebanon
430,LBR,Liberia
434,LBY,Libya
662,LCA,Saint Lucia
438,LIE,Liechtenstein
144,LKA,Sri Lanka
426,LSO,Lesotho
440,LTU,Lithuania
442,LUX,Luxembourg
428,LVA,Latvia
446,MAC,Macao
663,MAF,Saint Martin (French part)
504,MAR,Morocco
492,MCO,Monaco
498,MDA,"Moldova, Republic of"
450,MDG,Madagascar
462,MDV,Maldives
484,MEX,Mexico
584,MHL,Marshall Islands
807,MKD,North Macedonia
466,MLI,Mali
470,MLT,Malta
104,MMR,Myanmar
499,MNE,Montenegro
496,MNG,Mongolia
580,MNP,Northern Mariana Islands
508,MOZ,Mozambique
478,MRT,Mauritania
500,MSR,Montserrat
474,MTQ,Martinique
480,MUS,Mauritius
454,MWI,Malawi
458,MYS,Malaysia
