,year,region_sdg,stat,amount
0,2000,Australia and New Zealand,pop_t,22873.229
1,2000,Central and Southern Asia,pop_t,1528428.995
2,2000,Eastern and South-Eastern Asia,pop_t,2017386.4740000002
3,2000,Europe and Northern America,pop_t,1037572.252
4,2000,Latin America and the Caribbean,pop_t,522512.13
5,2000,Northern Africa and Western Asia,pop_t,361661.673
6,2000,Oceania,pop_t,8349.548999999999
7,2000,Sub-Saharan Africa,pop_t,640519.955
8,2001,Australia and New Zealand,pop_t,23137.722
9,2001,Central and Southern Asia,pop_t,1557544.583
10,2001,Eastern and South-Eastern Asia,pop_t,2034512.534
11,2001,Europe and Northern America,pop_t,1040856.672
12,2001,Latin America and the Caribbean,pop_t,529912.693
13,2001,Northern Africa and Western Asia,pop_t,368717.113
14,2001,Oceania,pop_t,8576.881
15,2001,Sub-Saharan Africa,pop_t,657581.987
16,2002,Australia and New Zealand,pop_t,23424.428
17,2002,Central and Southern Asia,pop_t,1586582.619
18,2002,Eastern and South-Eastern Asia,pop_t,2051939.6970000002
19,2002,Europe and Northern America,pop_t,1044110.264
20,2002,Latin America and the Caribbean,pop_t,537159.484
21,2002,Northern Africa and Western Asia,pop_t,375835.032
22,2002,Oceania,pop_t,8805.576
23,2002,Sub-Saharan Africa,pop_t,675237.479
24,2003,Australia and New Zealand,pop_t,23718.94
25,2003,Central and Southern Asia,pop_t,1615145.1509999998
26,2003,Eastern and South-Eastern Asia,pop_t,2068079.6859999998
27,2003,Europe and Northern America,pop_t,1047659.5360000001
28,2003,Latin America and the Caribbean,pop_t,544202.036
29,2003,Northern Africa and Western Asia,pop_t,383003.178
30,2003,Oceania,pop_t,9037.529999999999
31,2003,Sub-Saharan Africa,pop_t,693439.8250000001
32,2004,Australia and New Zealand,pop_t,24006.465
33,2004,Central and Southern Asia,pop_t,1643279.557
34,2004,Eastern and South-Eastern Asia,pop_t,2083998.3599999999
35,2004,Europe and Northern America,pop_t,1051534.24
36,2004,Latin America and the Caribbean,pop_t,551122.118
37,2004,Northern Africa and Western Asia,pop_t,390345.29099999997
38,2004,Oceania,pop_t,9271.98
39,2004,Sub-Saharan Africa,pop_t,712262.031
40,2005,Australia and New Zealand,pop_t,24304.512
41,2005,Central and Southern Asia,pop_t,1670684.208
42,2005,Eastern and South-Eastern Asia,pop_t,2099915.62
43,2005,Europe and Northern America,pop_t,1055526.345
44,2005,Latin America and the Caribbean,pop_t,557964.022
45,2005,Northern Africa and Western Asia,pop_t,398336.108
46,2005,Oceania,pop_t,9508.514000000001
47,2005,Sub-Saharan Africa,pop_t,731665.445
48,2006,Australia and New Zealand,pop_t,24647.007999999998
49,2006,Central and Southern Asia,pop_t,1697176.443
50,2006,Eastern and South-Eastern Asia,pop_t,2116039.118
51,2006,Europe and Northern America,pop_t,1060298.9989999998
52,2006,Latin America and the Caribbean,pop_t,564664.742
53,2006,Northern Africa and Western Asia,pop_t,407172.796
54,2006,Oceania,pop_t,9748.521999999999
55,2006,Sub-Saharan Africa,pop_t,751669.428
56,2007,Australia and New Zealand,pop_t,25052.322
57,2007,Central and Southern Asia,pop_t,1722597.836
58,2007,Eastern and South-Eastern Asia,pop_t,2132525.939
59,2007,Europe and Northern America,pop_t,1065161.477
60,2007,Latin America and the Caribbean,pop_t,571246.588
61,2007,Northern Africa and Western Asia,pop_t,416620.36
62,2007,Oceania,pop_t,9991.520999999999
63,2007,Sub-Saharan Africa,pop_t,772371.238
64,2008,Australia and New Zealand,pop_t,25508.112
65,2008,Central and Southern Asia,pop_t,1747720.931
66,2008,Eastern and South-Eastern Asia,pop_t,2149178.303
67,2008,Europe and Northern America,pop_t,1070337.68
68,2008,Latin America and the Caribbean,pop_t,577692.626
69,2008,Northern Africa and Western Asia,pop_t,426390.247
70,2008,Oceania,pop_t,10236.672999999999
71,2008,Sub-Saharan Africa,pop_t,793750.968
72,2009,Australia and New Zealand,pop_t,25963.778
73,2009,Central and Southern Asia,pop_t,1773368.1659999997
74,2009,Eastern and South-Eastern Asia,pop_t,2166070.668
75,2009,Europe and Northern America,pop_t,1075181.417
76,2009,Latin America and the Caribbean,pop_t,584072.349
77,2009,Northern Africa and Western Asia,pop_t,436242.304
78,2009,Oceania,pop_t,10484.496000000001
79,2009,Sub-Saharan Africa,pop_t,815740.324
80,2010,Australia and New Zealand,pop_t,26365.506
