,year,region_sdg,stat,amount
176,2022,Australia and New Zealand,pop_t,31362.701
177,2022,Central and Southern Asia,pop_t,2084589.543
178,2022,Eastern and South-Eastern Asia,pop_t,2344325.113
179,2022,Europe and Northern America,pop_t,1118592.667
180,2022,Latin America and the Caribbean,pop_t,660269.074
181,2022,Northern Africa and Western Asia,pop_t,553690.053
182,2022,Oceania,pop_t,13675.853000000001
183,2022,Sub-Saharan Africa,pop_t,1166766.36
360,2022,Australia and New Zealand,pop_r,-2683188.104056915
361,2022,Central and Southern Asia,pop_r,-77213883.44911961
362,2022,Eastern and South-Eastern Asia,pop_r,-142973039.87295115
363,2022,Europe and Northern America,pop_r,-86062298.21169093
364,2022,Latin America and the Caribbean,pop_r,-53217731.9099098
365,2022,Northern Africa and Western Asia,pop_r,-34462631.2128851
366,2022,Oceania,pop_r,-294612.5629749413
367,2022,Sub-Saharan Africa,pop_r,-48664685.87643351
544,2022,Australia and New Zealand,pop_u,2714550.805056915
545,2022,Central and Southern Asia,pop_u,79298472.99211961
546,2022,Eastern and South-Eastern Asia,pop_u,145317364.98595116
547,2022,Europe and Northern America,pop_u,87180890.87869093
548,2022,Latin America and the Caribbean,pop_u,53877958.22590979
549,2022,Northern Africa and Western Asia,pop_u,35016321.26588509
550,2022,Oceania,pop_u,308288.41597494134
551,2022,Sub-Saharan Africa,pop_u,49831452.236433506
728,2022,Australia and New Zealand,wat_pop_sm_t,518528.79999999993
729,2022,Central and Southern Asia,wat_pop_sm_t,37641558.56214762
730,2022,Eastern and South-Eastern Asia,wat_pop_sm_t,47125270.89323387
731,2022,Europe and Northern America,wat_pop_sm_t,104607356.81863202
732,2022,Latin America and the Caribbean,wat_pop_sm_t,36533093.21164483
733,2022,Northern Africa and Western Asia,wat_pop_sm_t,14702617.36670791
734,2022,Oceania,wat_pop_sm_t,135160.94876995214
735,2022,Sub-Saharan Africa,wat_pop_sm_t,16161823.384988079
912,2022,Australia and New Zealand,wat_pop_sm_r,0.0
913,2022,Central and Southern Asia,wat_pop_sm_r,-4894938349.186158
914,2022,Eastern and South-Eastern Asia,wat_pop_sm_r,-919531654.437182
915,2022,Europe and Northern America,wat_pop_sm_r,-2081387578.8922226
916,2022,Latin America and the Caribbean,wat_pop_sm_r,-1867491481.5814743
917,2022,Northern Africa and Western Asia,wat_pop_sm_r,-696083214.3977164
918,2022,Oceania,wat_pop_sm_r,-1834400.8560891785
919,2022,Sub-Saharan Africa,wat_pop_sm_r,-399723354.35213757
1096,2022,Australia and New Zealand,wat_pop_sm_u,225334790.39151353
1097,2022,Central and Southern Asia,wat_pop_sm_u,1830740094.7419615
1098,2022,Eastern and South-Eastern Asia,wat_pop_sm_u,10639588416.74174
1099,2022,Europe and Northern America,wat_pop_sm_u,4961299758.24374
1100,2022,Latin America and the Caribbean,wat_pop_sm_u,2729681848.8929954
1101,2022,Northern Africa and Western Asia,wat_pop_sm_u,969757097.6009148
1102,2022,Oceania,wat_pop_sm_u,4101668.9434533417
1103,2022,Sub-Saharan Africa,wat_pop_sm_u,1546467076.4672604
1280,2022,Australia and New Zealand,wat_pop_basal_sub_t,0.0
1281,2022,Central and Southern Asia,wat_pop_basal_sub_t,22774379.521231275
1282,2022,Eastern and South-Eastern Asia,wat_pop_basal_sub_t,30712717.625253994
1283,2022,Europe and Northern America,wat_pop_basal_sub_t,5570517.3418193925
1284,2022,Latin America and the Caribbean,wat_pop_basal_sub_t,15063622.810635928
1285,2022,Northern Africa and Western Asia,wat_pop_basal_sub_t,4468317.96607388
1286,2022,Oceania,wat_pop_basal_sub_t,81963.69946716976
1287,2022,Sub-Saharan Africa,wat_pop_basal_sub_t,31420401.648986306
1464,2022,Australia and New Zealand,wat_pop_basal_sub_r,0.0
1465,2022,Central and Southern Asia,wat_pop_basal_sub_r,-2098701197.6351528
