month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,19.21844,19.36975,21.7896,14.61625,23.04245,9.10398,12.33408,9.25933,,0.44934,-7.58686,1.01966,-12.60746,-18.07298,-7.53899,,-15.4484,-11.23319,-5.40119,-1.34665,-30.8646
2,,23.31774,30.4368,34.98222,24.15956,29.68837,24.13867,18.96821,12.09932,18.75602,8.50381,-0.92061,,-13.99962,-7.56552,,,-6.75776,1.41407,0.34346,9.095320000000001,-18.30076
3,,32.77893,31.23256,40.89291,36.15846,36.31984,36.98794,29.78051,17.55355,29.53371,19.56572,,21.91976,6.21529,0.54261,6.95161,,-2.69929,6.17352,14.5634,17.316499999999998,-13.99768
4,53.98446,34.18732,45.4747,42.422,42.22733,40.59678,40.33472,37.47076,23.77156,39.0865,19.29819,18.09818,23.39183,16.68317,,8.20316,,2.91703,12.40082,16.90224,23.490920000000003,-7.34868
5,51.19107,33.7127,40.1327,44.02449,33.68073,38.09102,33.70865,33.53583,24.67984,33.39526,,17.09112,23.58749,,-0.62741,9.32207,,0.06697,7.88862,12.25711,19.194850000000002,-10.90826
6,,,27.87768,21.94894,22.43171,23.71769,17.64367,16.0296,6.19859,33.39526,-2.78468,4.4944,9.01526,,-13.29273,-5.9037,-5.903,-15.12158,-9.44045,-2.92406,6.23776,-34.70948
7,,10.38876,13.43994,4.38089,0.1344,5.87798,1.01801,0.73081,-4.26504,-3.30184,-16.1148,-13.49056,,-23.22908,-30.8626,,-20.19994,-39.11845,-20.42451,-14.82281,-8.244,-55.86718
8,5.90046,-2.50763,-4.22993,-3.7279,-4.91404,-1.97035,-5.71709,-10.89874,-14.3968,-14.26531,-26.99786,,-26.01502,-36.71042,-44.07128,,,-42.5844,-29.14745,-26.53211,-17.37591,-67.48783
9,-3.10716,-7.51985,-10.46048,-7.50085,-13.52368,-11.82544,-13.40289,-18.32545,-22.96576,-21.37781,-27.95136,,-31.53958,-45.14699,,,,-47.05302,-30.46471,-25.8695,-19.66774,-75.31963
10,-5.49747,-10.55439,-12.87048,-8.21639,-17.96128,-18.73251,-16.33329,-24.3839,-23.83281,-20.92966,,-28.24515,-32.59599,,,,-39.31447,-47.67793,-32.86236,-32.56985,-27.59133,-76.98438
11,-0.53563,-4.57157,3.60582,-6.06362,-3.9468,-13.00751,-13.30736,-19.60316,-16.12863,,-23.73599,-23.58012,-25.42469,,-32.39666,,-35.44834,-39.5957,-30.84502,-23.08431,-22.69402,-68.69926
12,3.40629,7.91458,13.86328,3.96544,9.20525,0.25604,-1.99837,-7.07133,-2.485,-2.7182,-19.9063,-10.43521,,-25.25675,-29.43074,,-25.10266,-25.3416,-21.50434,-16.52162,-12.28669,
