date,value
2002-04,53.98446
2002-05,51.191069999999996
2002-08,5.90046
2002-09,-3.10716
2002-10,-5.49747
2002-11,-0.53563
2002-12,3.4062900000000003
2003-01,19.21844
2003-02,23.317739999999997
2003-03,32.77893
2003-04,34.18732
2003-05,33.7127
2003-07,10.38876
2003-08,-2.50763
2003-09,-7.51985
2003-10,-10.55439
2003-11,-4.57157
2003-12,7.91458
2004-01,19.36975
2004-02,30.4368
2004-03,31.23256
2004-04,45.4747
2004-05,40.1327
2004-06,27.877679999999998
2004-07,13.43994
2004-08,-4.22993
2004-09,-10.46048
2004-10,-12.87048
2004-11,3.60582
2004-12,13.86328
2005-01,21.7896
2005-02,34.98222
2005-03,40.89291
2005-04,42.422000000000004
2005-05,44.02449
2005-06,21.94894
2005-07,4.38089
2005-08,-3.7279
2005-09,-7.50085
2005-10,-8.21639
2005-11,-6.06362
2005-12,3.96544
2006-01,14.616249999999999
2006-02,24.15956
2006-03,36.15846
2006-04,42.227329999999995
2006-05,33.68073
2006-06,22.43171
2006-07,0.13440000000000002
2006-08,-4.91404
2006-09,-13.52368
2006-10,-17.96128
2006-11,-3.9468
2006-12,9.20525
2007-01,23.04245
2007-02,29.688370000000003
2007-03,36.31984
2007-04,40.596779999999995
2007-05,38.09102
2007-06,23.71769
2007-07,5.877980000000001
2007-08,-1.97035
2007-09,-11.82544
2007-10,-18.73251
2007-11,-13.00751
2007-12,0.25604
2008-01,9.10398
2008-02,24.13867
2008-03,36.98794
2008-04,40.33472
2008-05,33.70865
2008-06,17.64367
2008-07,1.01801
2008-08,-5.71709
2008-09,-13.40289
2008-10,-16.33329
2008-11,-13.30736
2008-12,-1.99837
2009-01,12.33408
2009-02,18.96821
2009-03,29.78051
2009-04,37.47076
2009-05,33.53583
2009-06,16.0296
2009-07,0.73081
2009-08,-10.89874
2009-09,-18.32545
2009-10,-24.3839
2009-11,-19.60316
2009-12,-7.07133
2010-01,9.25933
2010-02,12.09932
2010-03,17.55355
2010-04,23.771559999999997
2010-05,24.67984
2010-06,6.19859
2010-07,-4.26504
2010-08,-14.3968
2010-09,-22.96576
2010-10,-23.83281
2010-11,-16.12863
2010-12,-2.485
2011-02,18.75602
2011-03,29.533710000000003
2011-04,39.0865
2011-05,33.39526
2011-07,-3.30184
2011-08,-14.26531
2011-09,-21.37781
2011-10,-20.92966
2011-12,-2.7182
2012-01,0.44934
2012-02,8.503810000000001
2012-03,19.56572
2012-04,19.298189999999998
2012-06,-2.78468
2012-07,-16.1148
2012-08,-26.99786
2012-09,-27.95136
2012-11,-23.73599
2012-12,-19.9063
2013-01,-7.58686
2013-02,-0.92061
2013-04,18.09818
2013-05,17.09112
2013-06,4.4944
2013-07,-13.49056
2013-10,-28.24515
2013-11,-23.58012
2013-12,-10.43521
2014-01,1.01966
2014-03,21.91976
2014-04,23.39183
2014-05,23.58749
2014-06,9.015260000000001
2014-08,-26.01502
2014-09,-31.53958
2014-10,-32.59599
2014-11,-25.42469
2015-01,-12.60746
2015-02,-13.99962
2015-03,6.2152899999999995
2015-04,16.68317
2015-07,-23.22908
2015-08,-36.71042
2015-09,-45.14699
2015-12,-25.25675
2016-01,-18.07298
2016-02,-7.56552
2016-03,0.5426099999999999
2016-05,-0.62741
2016-06,-13.29273
2016-07,-30.8626
2016-08,-44.07128
2016-11,-32.39666
2016-12,-29.43074
2017-01,-7.53899
2017-03,6.9516100000000005
2017-04,8.20316
2017-05,9.32207
2017-06,-5.9037
2018-06,-5.903
2018-07,-20.19994
2018-10,-39.31447
2018-11,-35.44834
2018-12,-25.10266
2019-01,-15.4484
2019-02,-6.75776
2019-03,-2.69929
2019-04,2.91703
2019-05,0.06697
2019-06,-15.12158
2019-07,-39.11845
2019-08,-42.5844
2019-09,-47.05302
2019-10,-47.67793
2019-11,-39.5957
2019-12,-25.3416
2020-01,-11.23319
2020-02,1.4140700000000002
2020-03,6.17352
2020-04,12.40082
2020-05,7.8886199999999995
2020-06,-9.44045
2020-07,-20.42451
2020-08,-29.14745
2020-09,-30.46471
2020-10,-32.86236
2020-11,-30.84502
2020-12,-21.50434
2021-01,-5.40119
2021-02,0.34346
2021-03,14.5634
2021-04,16.90224
2021-05,12.25711
2021-06,-2.92406
2021-07,-14.82281
2021-08,-26.53212
2021-09,-25.8695
2021-10,-32.56984
2021-11,-23.08431
2021-12,-16.52162
2022-01,-1.34665
2022-02,9.095320000000001
2022-03,17.316499999999998
2022-04,23.490920000000003
2022-05,19.194850000000002
2022-06,6.23776
2022-07,-8.244
2022-08,-17.37591
2022-09,-19.66774
2022-10,-27.59133
2022-11,-22.69402
2022-12,-12.28669
2023-01,-30.8646
2023-02,-18.30076
2023-03,-13.99768
2023-04,-7.34868
2023-05,-10.90826
2023-06,-34.70948
2023-07,-55.86717
2023-08,-67.48784
2023-09,-75.31962
2023-10,-76.98438
2023-11,-68.69927
