,Area,Year,IndustrialWaterUseEfficiency,IrrigatedAgricultureWaterUseEfficiency,ServicesWaterUseEfficiency,WaterUseEfficiency,WaterStress
168,Australia and New Zealand,2001,78.585138578,0.0,122.63939285,33.931837587,6.91
169,Australia and New Zealand,2002,78.335479494,0.396554174,126.984538596,36.158236523,6.79
170,Australia and New Zealand,2003,76.818772917,0.429579328,131.869874753,38.158990028,6.66
171,Australia and New Zealand,2004,77.558083173,0.439700507,135.528104203,40.203425802,6.54
172,Australia and New Zealand,2005,79.326936293,0.404982258,137.511089272,42.053044714,6.42
173,Australia and New Zealand,2006,77.532848358,0.818360474,141.43560177,45.498882928,6.16
174,Australia and New Zealand,2007,77.199069793,1.040778224,149.249846189,49.602848157,5.86
175,Australia and New Zealand,2008,79.7164006,0.962840817,153.791806886,53.555778022,5.56
176,Australia and New Zealand,2009,72.166231684,1.156665163,164.372962288,57.72524107,5.26
177,Australia and New Zealand,2010,77.00158754,1.348503017,182.771645893,60.133998876,5.04
178,Australia and New Zealand,2011,75.879395818,1.368875213,216.991420078,63.928116712,5.37
179,Australia and New Zealand,2012,74.136509585,1.079446668,205.197743479,57.372895413,6.42
180,Australia and New Zealand,2013,80.930699453,1.060002219,188.820873322,50.053458615,7.64
181,Australia and New Zealand,2014,74.649974523,0.89884887,203.470247426,53.566353742,7.78
182,Australia and New Zealand,2015,70.736821703,1.063743548,221.803153246,58.306820088,5.24
183,Australia and New Zealand,2016,62.998878783,1.205583817,232.101818962,60.781344992,5.62
184,Australia and New Zealand,2017,81.400672324,1.225012046,337.616021245,61.673516302,6.02
185,Australia and New Zealand,2018,82.61435005,1.115725647,378.688485177,62.136192712,6.09
186,Australia and New Zealand,2019,87.830073237,1.224998413,354.573093622,69.085536147,5.61
187,Australia and New Zealand,2020,88.697138135,1.423546472,378.980150817,77.754595228,5.09
188,Australia and New Zealand,2021,96.741163601,1.345903247,375.386167612,69.168636654,5.85
714,Central and Southern Asia,2001,15.878949522,0.199211671,10.87305793,1.222228794,66.96
715,Central and Southern Asia,2002,17.230612021,0.189613751,11.040858987,1.271429095,68.09
716,Central and Southern Asia,2003,18.151290026,0.198582538,11.477359633,1.34485576,69.17
717,Central and Southern Asia,2004,20.030274345,0.197161098,12.083564151,1.452021289,67.4
718,Central and Southern Asia,2005,22.108159039,0.184344925,12.610183008,1.529254539,67.68
719,Central and Southern Asia,2006,23.33256833,0.204800768,13.247650587,1.650371625,67.75
720,Central and Southern Asia,2007,24.352490016,0.227486086,13.944430826,1.762885585,68.19
721,Central and Southern Asia,2008,25.247937834,0.232330295,14.339536749,1.783327147,69.58
722,Central and Southern Asia,2009,24.972712241,0.245471743,15.226452943,1.860315603,69.86
723,Central and Southern Asia,2010,25.648055758,0.263252804,15.85177845,1.964976176,70.37
724,Central and Southern Asia,2011,27.008568213,0.282686271,16.823242015,2.069971612,69.9
725,Central and Southern Asia,2012,27.052510369,0.294571175,17.910979729,2.156897731,70.39
726,Central and Southern Asia,2013,27.549692459,0.318078528,18.927387,2.256538522,70.2
727,Central and Southern Asia,2014,27.537495382,0.336481794,20.628190036,2.404200807,70.95
728,Central and Southern Asia,2015,28.777159485,0.350449026,22.384571138,2.532272781,71.27
729,Central and Southern Asia,2016,29.955923102,0.375770738,23.787934063,2.699771587,71.31
730,Central and Southern Asia,2017,30.069742377,0.397386915,25.034861021,2.843123381,71.65
731,Central and Southern Asia,2018,34.896824525,0.410563232,25.854498887,3.001191528,71.06
732,Central and Southern Asia,2019,35.264154096,0.426957374,27.402563812,3.101484808,70.0
733,Central and Southern Asia,2020,33.487811522,0.451895498,25.537826863,2.987117713,70.57
734,Central and Southern Asia,2021,37.462402933,0.467502581,27.045074196,3.24136744,74.77
1134,Eastern and South-Eastern Asia,2001,19.951119637,0.5797061,47.29334484,9.734373686,28.68
1135,Eastern and South-Eastern Asia,2002,19.931034644,0.619020617,48.385623487,10.062998962,28.91
1136,Eastern and South-Eastern Asia,2003,20.478254186,0.648252271,49.74991852,10.47539333,29.2
1137,Eastern and South-Eastern Asia,2004,20.271979951,0.743158574,52.094647368,10.911379438,29.06
1138,Eastern and South-Eastern Asia,2005,21.091872481,0.795427406,54.214699031,11.425412054,28.59
1139,Eastern and South-Eastern Asia,2006,22.264217759,0.752249605,56.287510666,11.068858483,28.2
1140,Eastern and South-Eastern Asia,2007,23.572668909,0.743967628,58.805248175,11.21588864,28.73
1141,Eastern and South-Eastern Asia,2008,25.415891129,0.771736841,58.613640252,11.497116596,29.11
1142,Eastern and South-Eastern Asia,2009,25.863850955,0.762926406,60.664966425,11.72192451,29.43
1143,Eastern and South-Eastern Asia,2010,28.140571079,0.791816785,63.816910025,12.639219752,29.74
1144,Eastern and South-Eastern Asia,2011,30.116284011,0.810175736,65.766726131,13.229915678,30.15
1145,Eastern and South-Eastern Asia,2012,32.096701698,0.808202307,72.315944451,13.756370844,30.43
1146,Eastern and South-Eastern Asia,2013,33.929879462,0.8032508,75.343812485,14.356158033,30.71
1147,Eastern and South-Eastern Asia,2014,36.700801465,0.811697802,78.433614547,15.091731239,30.65
