,ISO3,Area,Water Stress net change,Water Stress pct change,Water Stress 2002,Water Stress 2022
0,AFG,Afghanistan,0.0,0.0,54.757019438,54.757019438
1,ALB,Albania,-5.205048078000001,-0.5207802203885097,9.994711539,4.789663461
2,DZA,Algeria,59.777598697,0.7029567938087949,85.037372458,144.814971155
3,AGO,Angola,0.10392572899999997,0.058782931983955525,1.76795756,1.871883289
4,ATG,Antigua and Barbuda,-0.038461539000000045,-0.004524886941176476,8.5,8.461538461
5,ARG,Argentina,1.6624346759999984,0.18903699234988813,8.794229401,10.456664077
6,ARM,Armenia,27.012305831,0.7726485863031157,34.96066169,61.972967521
7,AUS,Australia,-3.704784881,-0.4422524935124119,8.37708082,4.672295939
8,AUT,Austria,-1.2075158879999996,-0.12216941567921727,9.883945841,8.676429953
9,AZE,Azerbaijan,13.724884079999995,0.31333803810075334,43.802163833,57.527047913
10,BHR,Bahrain,-86.907051282,-0.3939327142968895,220.613947834,133.706896552
11,BGD,Bangladesh,,,,5.723339482
12,BRB,Barbados,-13.75,-0.13580246913580246,101.25,87.5
13,BLR,Belarus,-1.221489782,-0.20766558325104015,5.882003955,4.660514173
14,BEL,Belgium,-29.922414996,-0.36160823384043655,82.748157248,52.825742252
15,BLZ,Belize,0.0,0.0,1.260294485,1.260294485
16,BEN,Benin,0.0,0.0,0.975243811,0.975243811
17,BTN,Bhutan,,,,1.413807531
18,BOL,Bolivia (Plurinational State of),-0.9235107939999999,-0.8198124084650974,1.126490383,0.202979589
19,BIH,Bosnia and Herzegovina,-0.42164674700000004,-0.16910785643686946,2.493359894,2.071713147
20,BWA,Botswana,0.19527366700000037,0.09597001891771587,2.034736152,2.230009819
21,BRA,Brazil,-1.1873983089999998,-0.4425281803624892,2.68321513,1.495816821
22,BRN,Brunei Darussalam,0.0,0.0,3.466465712,3.466465712
23,BGR,Bulgaria,-8.465268223999999,-0.17382277809267954,48.700569148,40.235300924
24,BFA,Burkina Faso,0.9751434030000006,0.14245810049377602,6.845124283,7.820267686
25,BDI,Burundi,-0.17248908300000032,-0.01664092122187664,10.365356623,10.19286754
26,CPV,Cabo Verde,51.149501296,5.993467358259721,8.534208704,59.68371
27,KHM,Cambodia,,,,1.03654485
28,CMR,Cameroon,0.10494623599999997,0.07210401852677073,1.455483871,1.560430107
29,CAN,Canada,-0.5762643949999995,-0.13410964126923383,4.296964704,3.720700309
30,CAF,Central African Republic,0.01749999999999996,0.055005820747383256,0.318148148,0.335648148
31,TCD,Chad,0.08906249999999982,0.021175814990247937,4.205859375,4.294921875
32,CHL,Chile,1.0865665089999998,0.13761750336731887,7.89555458,8.982121089
33,CHN,China,1.1904588009999983,0.029519359620187022,40.328069996,41.518528797
34,COL,Colombia,2.322214072,1.7725913445679946,1.310067365,3.632281437
35,COM,Comoros,0.0,0.0,0.833333333,0.833333333
36,COG,Congo,0.0,0.0,0.027446301,0.027446301
37,CRI,Costa Rica,,,,5.881962457
38,HRV,Croatia,0.23454868800000006,0.18395815146759872,1.275011116,1.509559804
39,CUB,Cuba,5.890034874999998,0.3263283667091571,18.049411194,23.939446069
40,CYP,Cyprus,7.148715144999997,0.306385471586777,23.332422089,30.481137234
41,CZE,Czechia,-7.042274938999999,-0.24270216445427523,29.016119221,21.973844282
42,CIV,Côte d'Ivoire,-1.3264448339999992,-0.20680428140015752,6.414010508,5.087565674
43,PRK,Democratic People's Republic of Korea,0.1964754890000009,0.007133152187552324,27.54399231,27.740467799
44,COD,Democratic Republic of the Congo,0.01981413900000001,0.09568841293501622,0.207069366,0.226883505
45,DNK,Denmark,7.597349918999999,0.4299816345298954,17.669010276,25.266360195
46,DJI,Djibouti,0.0,0.0,6.333333333,6.333333333
47,DMA,Dominica,1.6999999999999993,0.20481927710843364,8.3,10.0
48,DOM,Dominican Republic,11.292396363999998,0.3995764207339998,28.260917757,39.553314121
49,ECU,Ecuador,0.22551299599999997,0.034393549010139815,6.556839945,6.782352941
50,EGY,Egypt,31.176684882000004,0.28345257022153414,109.989071038,141.16575592
51,SLV,El Salvador,1.6584070489999991,0.15893216272495936,10.434684966,12.093092015
52,GNQ,Equatorial Guinea,0.01334569100000002,0.07843137589079,0.170157553,0.183503244
53,ERI,Eritrea,1.6186635939999992,0.16937914401178678,9.556451613,11.175115207
54,EST,Estonia,-2.2502516010000004,-0.14710856653438278,15.296536796,13.046285195
55,SWZ,Eswatini,1.1328976030000035,0.014823261111000671,76.427015251,77.559912854
56,ETH,Ethiopia,15.260244648,0.8978229578811052,16.996941896,32.257186544
57,FJI,Fiji,0.006725043999999958,0.02313810631393798,0.290647986,0.29737303
58,FIN,Finland,-2.7300721569999995,-0.2773298370058419,9.844134286,7.114062129
59,FRA,France,-6.938930578000001,-0.2449879581924982,28.323557734,21.384627156
60,GAB,Gabon,0.040722022000000024,0.0882491010941494,0.461444043,0.502166065
61,GMB,Gambia,0.1448455850000001,0.07014956814055046,2.064810787,2.209656372
62,GEO,Georgia,-1.89296417,-0.3100206987214692,6.105928339,4.212964169
63,DEU,Germany,-25.582661732999995,-0.4198399561151867,60.934318805,35.351657072
