VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2022,30.613806827,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2022,1.870860927,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2022,63.349618582,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2022,0.098854447,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2022,3.461538461,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2022,3.187482881,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2022,30.634573304,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2022,2.274390244,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2022,0.15958816,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2022,34.497476568,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2022,124.74137931,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2022,2.567170212,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2022,68.5,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2022,0.664939551,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2022,0.229344262,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2022,0.314714273,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2022,0.223569534,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2022,0.407692308,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2022,0.334494774,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2022,0.487425302,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2022,0.478038626,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2022,0.062352941,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2022,3.410487615,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2022,3.116296296,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2022,1.770899809,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2022,34.405786667,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2022,0.43121193,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2022,0.260286067,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2022,0.132977257,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2022,0.000283688,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2022,1.470897155,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2022,3.187225099,%,I,false
