,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
22,Afghanistan,AFG,2022,41128.771,1094683.4153765677,-1053554.6443765678,1235265.5442237416,-29217135.4428969,39826126.155015215,2144506.4763355125,-50935309.813677564,68532603.95422922,430924.29328282125,-15042186.791168056,0.0,254002.91650137276,-8866427.225396475,0.0
45,Albania,ALB,2022,2842.321,181337.22602922056,-178494.90502922056,201054.6113807909,,,69234.66350372529,,,8618.498365514999,-643184.432862176,491080.07689394016,0.0,-0.0,0.0
68,Algeria,DZA,2022,44903.225,3357503.739630699,-3312600.514630699,3170074.913017819,-209189220.86167222,245470500.91033176,1080527.1198910505,-90186126.93096676,77211525.37319778,15471.865876942906,-2244079.0608813036,779769.1296708739,3054.757162484275,-427798.0679625354,159180.49801282873
91,American Samoa,ASM,2022,44.273,3860.4284701690676,-3816.1554701690675,,,,,,,,,,,,
114,Andorra,AND,2022,79.824,7009.425634277343,-6929.601634277344,7235.247478942871,,,747.1525210571294,,,0.0,-0.0,0.0,0.0,-0.0,0.0
137,Angola,AGO,2022,35588.987,2422933.869562767,-2387344.882562767,,,,,,,689905.7104174361,-54749344.45482528,42939318.18752797,483919.10811300855,-96730756.08313444,2364732.969849795
160,Anguilla,AIA,2022,15.857,1585.6999999999998,-1569.8429999999998,,,,,,,,,,,,
183,Antigua and Barbuda,ATG,2022,93.763,2282.7538821125036,-2188.9908821125036,,,,,,,132.95870405550875,-3123.114222369728,3175.2695149623055,20.34983756552372,-491.0052957430166,443.85386583615707
206,Argentina,ARG,2022,45510.318,4202741.341901459,-4157231.023901459,,,,,,,,,269486.0311134823,,,498299.0900808747
229,Armenia,ARM,2022,2780.469,176762.77151969148,-173982.30251969147,229143.24365605685,,,48815.52798064479,,,7.649803314098289,-0.0,765.532102065673,80.47855998426057,-0.0,8047.856133420126
